Index,GeoFips,2001,2002,2003,2004,2005,Average
89,19180,83646.0,83299.0,82996.0,82955.0,82728.0,83124.8
90,19300,144875.0,147957.0,151509.0,156266.0,162183.0,152558.0
91,19340,374561.0,373740.0,372975.0,372740.0,372876.0,373378.4
92,19380,804479.0,804286.0,804926.0,805930.0,804766.0,804877.4
93,19460,146552.0,146464.0,147386.0,147324.0,148399.0,147225.0
94,19500,113604.0,112564.0,111572.0,111181.0,111083.0,112000.8
95,19660,505047.0,516153.0,529021.0,546232.0,563305.0,531951.6
96,19740,2218759.0,2266781.0,2284876.0,2304818.0,2332749.0,2281596.6
97,19780,489761.0,496276.0,503406.0,511257.0,521578.0,504455.6
98,19820,4461855.0,4456433.0,4453371.0,4445887.0,4431048.0,4449718.8
99,20020,131413.0,131967.0,133586.0,135057.0,136643.0,133733.2
100,20100,129228.0,131824.0,134605.0,139342.0,144585.0,135916.8
101,20220,88932.0,89132.0,90012.0,90462.0,90769.0,89861.4
102,20260,276946.0,276852.0,277209.0,277087.0,276682.0,276955.2
103,20500,435229.0,441780.0,446402.0,451323.0,458287.0,446604.2
104,20700,143775.0,148833.0,154027.0,158181.0,162045.0,153372.2
105,20740,149655.0,150846.0,151816.0,153419.0,154809.0,152109.0
106,20940,143707.0,145640.0,148984.0,152259.0,156113.0,149340.6
107,21060,135657.0,136591.0,136333.0,138230.0,140177.0,137397.6
108,21140,184708.0,184543.0,187149.0,189316.0,192242.0,187591.6
109,21300,90780.0,90613.0,90154.0,89777.0,88860.0,90036.8
110,21340,692568.0,699844.0,708545.0,720997.0,731511.0,710693.0
111,21500,280647.0,280379.0,280153.0,277864.0,277211.0,279250.8
112,21660,324855.0,327506.0,330845.0,332327.0,335831.0,330272.8
113,21780,297027.0,298383.0,300628.0,302310.0,303844.0,300438.4
114,21820,84814.0,86095.0,86885.0,89043.0,90431.0,87453.6
115,22020,177033.0,178891.0,181539.0,186448.0,189303.0,182642.8
116,22140,115745.0,119430.0,121553.0,123179.0,124809.0,120943.2
117,22180,339038.0,341482.0,339823.0,345748.0,343493.0,341916.8
118,22220,358350.0,367634.0,379457.0,392694.0,407987.0,381224.4
119,22380,118283.0,121308.0,122882.0,125117.0,127025.0,122923.0
120,22420,438584.0,440062.0,441689.0,442534.0,442508.0,441075.4
121,22500,194240.0,195590.0,197053.0,198010.0,199167.0,196812.0
122,22520,142584.0,142163.0,142382.0,143112.0,143717.0,142791.6
123,22540,97856.0,98097.0,98470.0,98929.0,99297.0,98529.8
124,22660,260541.0,265372.0,268448.0,271510.0,275116.0,268197.4
125,22900,258087.0,260117.0,261903.0,264035.0,266708.0,262170.0
126,23060,393580.0,396147.0,398993.0,400583.0,403240.0,398508.6
127,23420,813021.0,829762.0,847193.0,861035.0,872470.0,844696.2
128,23460,102976.0,102988.0,103025.0,103080.0,103174.0,103048.6
129,23540,236001.0,239116.0,242033.0,245138.0,249557.0,242369.0
130,23580,146148.0,150229.0,153561.0,156385.0,160979.0,153460.4
