,Unnamed: 0,Unnamed: 0.1,Index,ID Code,U.S. Regional Title,2001,2002,2003,2004,2005,Average
67,22,22,22,117140,"Cincinnati-Middletown, OH-KY-IN",928.0,1004.0,956.0,788.0,627.0,22
68,291,291,291,117300,"Clarksville, TN-KY",10.0,16.0,10.0,8.0,8.0,291
69,292,292,292,117420,"Cleveland, TN",10.0,16.0,11.0,16.0,14.0,292
70,23,23,23,117460,"Cleveland-Elyria-Mentor, OH",781.0,737.0,699.0,647.0,555.0,23
71,260,260,260,117660,"Coeur d'Alene, ID",15.0,9.0,14.0,13.0,13.0,260
72,159,159,159,117780,"College Station-Bryan, TX",46.0,63.0,51.0,46.0,37.0,159
73,61,61,61,117820,"Colorado Springs, CO",278.0,264.0,309.0,281.0,252.0,61
74,196,196,196,117860,"Columbia, MO",32.0,27.0,30.0,24.0,19.0,196
75,135,135,135,117900,"Columbia, SC",76.0,58.0,63.0,67.0,48.0,135
76,282,282,282,117980,"Columbus, GA-AL",6.0,12.0,14.0,21.0,10.0,282
77,163,163,163,118020,"Columbus, IN",51.0,47.0,52.0,42.0,39.0,163
78,50,50,50,118140,"Columbus, OH",361.0,355.0,345.0,386.0,256.0,50
79,217,217,217,118580,"Corpus Christi, TX",31.0,23.0,21.0,22.0,17.0,217
80,62,62,62,118700,"Corvallis, OR",155.0,198.0,211.0,247.0,259.0,62
81,247,247,247,118880,"Crestview-Fort Walton Beach-Destin, FL",30.0,27.0,16.0,13.0,9.0,247
82,352,352,352,119060,"Cumberland, MD-WV",7.0,4.0,0.0,2.0,4.0,352
83,10,10,10,119100,"Dallas-Fort Worth-Arlington, TX",2130.0,1926.0,1884.0,1959.0,1685.0,10
84,285,285,285,119140,"Dalton, GA",10.0,14.0,13.0,11.0,9.0,285
85,347,347,347,119180,"Danville, IL",9.0,3.0,6.0,2.0,5.0,347
86,354,354,354,119260,"Danville, VA",4.0,7.0,3.0,3.0,3.0,354
87,130,130,130,119340,"Davenport-Moline-Rock Island, IA-IL",70.0,74.0,84.0,80.0,45.0,130
88,67,67,67,119380,"Dayton, OH",259.0,288.0,288.0,238.0,171.0,67
89,270,270,270,119460,"Decatur, AL",12.0,15.0,11.0,13.0,5.0,270
90,234,234,234,119500,"Decatur, IL",17.0,22.0,22.0,18.0,17.0,234
91,156,156,156,119660,"Deltona-Daytona Beach-Ormond Beach, FL",52.0,51.0,51.0,44.0,37.0,156
92,29,29,29,119740,"Denver-Aurora-Broomfield, CO",606.0,577.0,596.0,541.0,492.0,29
93,79,79,79,119780,"Des Moines-West Des Moines, IA",188.0,116.0,147.0,143.0,140.0,79
94,9,9,9,119820,"Detroit-Warren-Livonia, MI",2239.0,2230.0,2255.0,2214.0,2018.0,9
95,337,337,337,120020,"Dothan, AL",9.0,5.0,4.0,6.0,4.0,337
96,294,294,294,120100,"Dover, DE",8.0,9.0,11.0,7.0,6.0,294
97,231,231,231,120220,"Dubuque, IA",28.0,18.0,14.0,8.0,16.0,231
98,235,235,235,120260,"Duluth, MN-WI",10.0,25.0,26.0,18.0,12.0,235
99,43,43,43,120500,"Durham-Chapel Hill, NC",364.0,328.0,369.0,312.0,295.0,43
100,187,187,187,120740,"Eau Claire, WI",34.0,29.0,32.0,45.0,40.0,187
101,361,361,361,120940,"El Centro, CA",4.0,4.0,4.0,2.0,2.0,361
102,184,184,184,121340,"El Paso, TX",32.0,46.0,45.0,51.0,36.0,184
103,310,310,310,121060,"Elizabethtown, KY",7.0,10.0,14.0,8.0,4.0,310
104,166,166,166,121140,"Elkhart-Goshen, IN",47.0,39.0,43.0,53.0,47.0,166
105,145,145,145,121300,"Elmira, NY",78.0,76.0,84.0,75.0,51.0,145
106,124,124,124,121500,"Erie, PA",97.0,86.0,73.0,60.0,64.0,124
107,133,133,133,121660,"Eugene-Springfield, OR",75.0,66.0,71.0,43.0,56.0,133
108,142,142,142,121780,"Evansville, IN-KY",38.0,65.0,44.0,57.0,52.0,142
109,355,355,355,121820,"Fairbanks, AK",6.0,2.0,2.0,2.0,2.0,355
110,373,373,373,121940,"Fajardo, PR",0.0,0.0,0.0,0.0,0.0,373
111,177,177,177,122020,"Fargo, ND-MN",40.0,30.0,21.0,17.0,30.0,177
112,320,320,320,122140,"Farmington, NM",7.0,5.0,9.0,6.0,3.0,320
113,287,287,287,122180,"Fayetteville, NC",10.0,4.0,8.0,15.0,14.0,287
114,182,182,182,122220,"Fayetteville-Springdale-Rogers, AR-MO",31.0,47.0,32.0,42.0,30.0,182
115,195,195,195,122380,"Flagstaff, AZ",25.0,24.0,26.0,23.0,25.0,195
116,110,110,110,122420,"Flint, MI",84.0,110.0,100.0,87.0,93.0,110
117,188,188,188,122500,"Florence, SC",30.0,34.0,27.0,37.0,26.0,188
118,301,301,301,122520,"Florence-Muscle Shoals, AL",16.0,12.0,7.0,5.0,12.0,301
119,199,199,199,122540,"Fond du Lac, WI",25.0,26.0,27.0,28.0,32.0,199
120,45,45,45,122660,"Fort Collins-Loveland, CO",347.0,371.0,456.0,459.0,430.0,45
121,293,293,293,122900,"Fort Smith, AR-OK",8.0,10.0,11.0,7.0,7.0,293
122,93,93,93,123060,"Fort Wayne, IN",144.0,180.0,142.0,148.0,101.0,93
123,171,171,171,123420,"Fresno, CA",40.0,44.0,36.0,40.0,39.0,171
124,351,351,351,123460,"Gadsden, AL",6.0,5.0,5.0,3.0,3.0,351
125,106,106,106,123540,"Gainesville, FL",118.0,95.0,101.0,84.0,96.0,106
126,220,220,220,123580,"Gainesville, GA",24.0,12.0,20.0,20.0,22.0,220
127,236,236,236,124020,"Glens Falls, NY",27.0,19.0,17.0,14.0,15.0,236
128,364,364,364,124140,"Goldsboro, NC",1.0,7.0,0.0,0.0,3.0,364
129,278,278,278,124220,"Grand Forks, ND-MN",11.0,16.0,5.0,8.0,12.0,278
130,272,272,272,124300,"Grand Junction, CO",17.0,13.0,10.0,12.0,7.0,272
131,80,80,80,124340,"Grand Rapids-Wyoming, MI",194.0,195.0,181.0,165.0,140.0,80
132,356,356,356,124500,"Great Falls, MT",5.0,0.0,1.0,2.0,4.0,356
133,72,72,72,124540,"Greeley, CO",145.0,153.0,163.0,198.0,203.0,72
134,176,176,176,124580,"Green Bay, WI",54.0,42.0,35.0,31.0,36.0,176
135,99,99,99,124660,"Greensboro-High Point, NC",121.0,122.0,142.0,145.0,103.0,99
136,238,238,238,124780,"Greenville, NC",16.0,16.0,13.0,14.0,10.0,238
137,74,74,74,124860,"Greenville-Mauldin-Easley, SC",178.0,181.0,167.0,152.0,147.0,74
138,370,370,370,125020,"Guayama, PR",0.0,0.0,0.0,1.0,0.0,370
139,240,240,240,125060,"Gulfport-Biloxi, MS",27.0,27.0,22.0,11.0,14.0,240
