Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",6,6,6,8,5,10,11,14,13,23,25,30,157
073,"Measuring and Testing",5,10,4,10,5,12,12,11,13,8,4,9,103
250,"Radiant Energy",7,11,10,10,7,7,7,7,12,6,8,8,100
438,"Semiconductor Device Manufacturing: Process",3,3,4,7,5,7,5,8,9,10,20,14,95
704,"DP: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression (Data Processing)",6,20,9,11,3,10,10,3,2,3,3,1,81
128,"Surgery (includes Class 600)",6,5,4,5,3,8,6,6,7,3,5,4,62
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",2,3,1,1,3,7,10,1,7,9,5,4,53
370,"Multiplex Communications",0,1,0,3,6,3,7,5,8,4,3,7,47
372,"Coherent Light Generators",1,1,3,9,13,6,2,0,1,3,4,3,46
340,"Communications:  Electrical",2,1,6,3,2,7,8,5,3,1,3,2,43
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",4,4,8,6,3,3,4,3,0,2,2,4,43
606,"Surgery (instruments)",7,1,4,1,4,5,4,2,3,4,4,4,43
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,0,1,1,6,5,3,13,4,4,3,2,42
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",2,1,1,4,1,3,2,9,2,1,8,2,36
385,"Optical Waveguides",2,1,4,7,6,1,6,3,0,3,1,1,35
707,"DP: Database and File Management or Data Structures (Data Processing)",2,1,2,2,1,2,5,2,2,5,2,8,34
379,"Telephonic Communications",1,1,3,0,5,5,1,2,3,3,6,3,33
359,"Optical: Systems and Elements",1,2,1,8,2,0,3,2,2,1,0,9,31
433,"Dentistry",3,2,2,2,1,3,1,3,0,3,2,8,30
324,"Electricity:  Measuring and Testing",3,4,3,2,2,2,2,5,2,2,0,2,29
348,"Television",3,1,1,1,3,1,1,3,2,5,6,2,29
356,"Optics:  Measuring and Testing",2,1,4,1,3,1,2,5,1,1,3,5,29
428,"Stock Material or Miscellaneous Articles",4,3,6,2,1,2,0,4,3,1,1,2,29
435,"Chemistry: Molecular Biology and Microbiology",2,2,1,3,5,0,2,3,0,1,5,4,28
604,"Surgery (Medicators and Receptors)",2,3,4,6,2,1,1,2,1,0,0,5,27
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",3,0,1,1,0,0,1,1,1,3,5,11,27
362,"Illumination",1,1,1,0,1,4,1,6,2,4,1,4,26
382,"Image Analysis",0,1,0,2,3,2,8,3,1,1,2,3,26
532,"Organic Compounds (includes Classes 532-570)",3,1,6,1,1,3,2,1,0,2,2,1,23
029,"Metal Working",3,0,2,6,3,1,1,2,0,0,2,2,22
062,"Refrigeration",5,5,4,2,1,0,1,1,2,0,1,0,22
482,"Exercise Devices",0,1,2,1,1,1,4,3,1,1,4,3,22
361,"Electricity:  Electrical Systems and Devices",0,2,1,2,1,1,1,4,1,7,0,1,21
602,"Surgery: Splint, Brace, or Bandage",2,0,2,0,1,1,6,2,1,0,5,1,21
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",1,3,2,1,3,1,3,0,1,2,2,2,21
210,"Liquid Purification or Separation",2,2,0,3,4,3,0,0,3,2,1,0,20
313,"Electric Lamp and Discharge Devices",0,0,0,2,0,1,3,1,2,2,1,7,19
713,"Support (Electrical Computers and Digital Processing Systems)",0,0,1,0,0,0,3,4,0,3,7,1,19
455,"Telecommunications",0,0,1,0,3,1,1,2,3,2,2,2,17
360,"Dynamic Magnetic Information Storage or Retrieval",1,2,1,0,1,0,0,2,2,5,0,2,16
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",0,0,1,5,3,1,2,0,1,0,0,3,16
717,"DP: Software Development, Installation, and Management (Data Processing)",0,4,1,1,1,1,1,0,2,0,3,2,16
335,"Electricity:  Magnetically Operated Switches, Magnets, and Electromagnets",0,1,3,0,1,1,0,0,1,2,2,4,15
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",0,1,0,0,2,3,1,0,1,2,3,2,15
439,"Electrical Connectors",0,2,2,1,0,1,3,3,2,1,0,0,15
244,"Aeronautics and Astronautics",0,2,1,0,2,3,0,4,0,0,1,1,14
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",1,2,2,1,0,0,1,0,0,4,0,3,14
033,"Geometrical Instruments",1,2,0,1,2,2,1,0,0,1,3,0,13
204,"Chemistry:  Electrical and Wave Energy",2,2,0,3,2,0,0,3,0,0,1,0,13
341,"Coded Data Generation or Conversion",0,1,2,1,0,2,2,0,1,1,2,1,13
102,"Ammunition and Explosives",1,0,0,0,2,2,3,0,2,1,1,0,12
333,"Wave Transmission Lines and Networks",1,0,1,3,2,0,1,3,0,0,1,0,12
345,"Computer Graphics Processing and Selective Visual Display Systems",1,2,2,1,0,0,0,0,3,0,2,1,12
473,"Games Using Tangible Projectile",0,0,2,1,1,0,0,2,0,3,1,2,12
710,"Input/Output (Electrical Computers and Digital Processing Systems)",0,0,1,0,2,0,1,1,3,2,1,1,12
714,"Error Detection/Correction and Fault Detection/Recovery",0,0,1,2,0,2,0,7,0,0,0,0,12
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",1,1,0,0,0,2,0,2,0,0,4,2,12
036,"Boots, Shoes, and Leggings",4,1,1,1,2,0,0,2,0,0,0,0,11
074,"Machine Element or Mechanism",1,1,3,2,0,0,1,2,0,0,0,1,11
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",0,0,1,4,2,0,1,0,1,0,1,1,11
280,"Land Vehicles",3,1,0,0,1,0,2,1,1,1,0,1,11
423,"Chemistry of Inorganic Compounds",0,0,0,0,0,0,1,0,0,4,6,0,11
436,"Chemistry: Analytical and Immunological Testing",0,0,2,0,2,0,1,5,0,0,0,1,11
118,"Coating Apparatus",4,0,0,1,0,1,0,0,2,0,0,2,10
136,"Batteries:  Thermoelectric and Photoelectric",0,4,1,0,1,1,1,2,0,0,0,0,10
222,"Dispensing (apparatus and process)",3,0,1,0,3,1,1,1,0,0,0,0,10
248,"Supports (e.g., for holding articles, etc.)",1,2,1,3,1,0,1,0,1,0,0,0,10
310,"Electrical Generator or Motor Structure",0,1,0,1,3,0,0,1,1,1,0,2,10
330,"Amplifiers",2,2,0,2,0,0,1,2,1,0,0,0,10
166,"Wells (shafts or deep borings in the earth, e.g., for oil and gas)",2,0,1,0,1,2,1,1,0,0,0,1,9
252,"Compositions",1,1,0,1,0,0,2,2,0,0,2,0,9
290,"Prime-Mover Dynamo Plants",1,1,0,1,1,0,2,1,1,1,0,0,9
343,"Communications:  Radio Wave Antennas",0,0,0,0,0,4,1,1,0,1,2,0,9
358,"Facsimile and Static Presentation Processing",0,0,1,0,1,1,0,0,0,2,1,3,9
378,"X-Ray or Gamma Ray Systems or Devices",0,0,0,1,1,2,1,1,1,0,2,0,9
411,"Expanded, Threaded, Driven, Headed, Tool-Deformed, or Locked-Threaded Fastener",0,2,1,3,1,0,0,0,1,1,0,0,9
002,"Apparel",0,3,1,0,0,3,0,1,0,0,0,0,8
052,"Static Structures (e.g., Buildings)",1,0,3,0,0,1,1,0,0,0,1,1,8
060,"Power Plants",2,2,0,0,1,1,0,0,1,0,0,1,8
123,"Internal-Combustion Engines",0,2,0,1,1,1,0,0,0,2,1,0,8
174,"Electricity:  Conductors and Insulators",2,0,0,0,0,1,0,0,0,1,3,1,8
180,"Motor Vehicles",1,0,0,2,1,2,0,0,1,0,1,0,8
365,"Static Information Storage and Retrieval",0,0,0,0,0,0,4,3,0,1,0,0,8
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",1,1,0,0,0,0,0,1,1,0,3,1,8
451,"Abrading",2,1,0,0,1,0,0,0,1,1,0,2,8
502,"Catalyst, Solid Sorbent, or Support Therefor:  Product or Process of Making",0,0,2,2,0,1,0,0,0,0,2,1,8
726,"Information Security",0,0,0,0,0,1,0,1,0,2,1,3,8
850,"Scanning-Probe Techniques or Apparatus; Applications of Scanning-Probe Techniques, e.g., Scanning Probe Microscopy [Spm]",0,0,1,1,0,1,0,0,0,0,2,3,8
089,"Ordnance",0,1,0,1,0,0,0,0,0,1,2,2,7
