Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
123,"Internal-Combustion Engines",92,151,154,156,157,157,175,180,157,124,160,154,1817
296,"Land Vehicles:  Bodies and Tops",124,137,117,121,158,174,177,162,139,115,167,101,1692
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",60,105,93,109,120,115,102,107,83,117,150,195,1356
280,"Land Vehicles",134,133,122,102,101,109,91,84,103,97,158,118,1352
475,"Planetary Gear Transmission Systems or Components",29,21,24,69,98,37,79,83,62,56,70,96,724
073,"Measuring and Testing",40,54,58,62,69,55,52,48,48,47,57,53,643
340,"Communications:  Electrical",50,45,49,29,53,51,93,50,54,42,58,46,620
297,"Chairs and Seats",60,40,30,63,54,45,56,48,43,41,67,61,608
060,"Power Plants",24,56,58,51,48,46,61,37,29,38,54,85,587
180,"Motor Vehicles",35,31,47,52,40,53,42,42,44,44,52,44,526
029,"Metal Working",48,65,48,50,44,43,51,36,20,24,39,41,509
439,"Electrical Connectors",37,39,37,37,39,44,51,45,39,34,22,28,452
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",38,29,40,46,52,30,33,23,16,13,35,21,376
074,"Machine Element or Mechanism",54,50,50,30,26,17,25,28,20,24,27,15,366
428,"Stock Material or Miscellaneous Articles",31,40,52,41,35,31,18,18,11,14,22,24,337
362,"Illumination",24,22,21,27,14,18,21,31,30,35,26,29,298
072,"Metal Deforming",22,23,17,15,23,25,32,26,24,26,17,20,270
192,"Clutches and Power-Stop Control",27,28,19,25,23,22,32,21,21,9,12,23,262
477,"Interrelated Power Delivery Controls, Including Engine Control",19,14,16,17,14,15,19,25,16,31,30,34,250
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",16,26,26,20,29,23,21,21,7,11,18,20,238
324,"Electricity:  Measuring and Testing",11,20,27,35,18,19,23,12,9,17,15,15,221
318,"Electricity:  Motive Power Systems",14,16,36,21,22,18,27,13,12,15,5,12,211
219,"Electric Heating",22,21,21,22,29,21,17,18,10,17,8,4,210
455,"Telecommunications",7,4,2,6,5,21,27,31,21,23,21,36,204
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",14,14,15,15,23,14,21,16,22,10,15,23,202
188,"Brakes",9,34,22,19,21,19,19,13,4,13,10,10,193
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",6,9,12,25,16,15,14,22,8,15,24,16,182
427,"Coating Processes",17,17,21,23,20,14,9,9,4,20,15,12,181
248,"Supports (e.g., for holding articles, etc.)",27,14,18,14,15,11,7,7,8,18,19,17,175
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",6,14,23,15,17,13,13,15,18,13,11,14,172
049,"Movable or Removable Closures",27,18,15,16,13,13,11,5,11,6,17,15,167
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",20,17,15,15,23,10,9,11,6,10,10,16,162
137,"Fluid Handling",18,24,23,22,14,17,9,6,6,7,9,6,161
285,"Pipe Joints or Couplings",8,14,24,13,11,14,16,8,7,19,9,10,153
464,"Rotary Shafts, Gudgeons, Housings, and Flexible Couplings for Rotary Shafts",8,13,8,12,15,10,20,8,12,13,9,16,144
052,"Static Structures (e.g., Buildings)",20,23,15,16,8,8,9,6,6,5,14,10,140
473,"Games Using Tangible Projectile",14,8,9,8,15,13,17,7,11,12,15,10,139
062,"Refrigeration",10,20,23,15,11,6,11,6,7,9,9,9,136
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",15,16,16,13,8,6,9,10,8,9,7,16,133
303,"Fluid-Pressure and Analogous Brake Systems",8,20,15,18,8,10,15,7,11,6,9,6,133
293,"Vehicle Fenders",3,11,13,9,14,16,12,13,11,9,7,9,127
361,"Electricity:  Electrical Systems and Devices",9,5,7,16,16,9,14,15,7,5,11,13,127
411,"Expanded, Threaded, Driven, Headed, Tool-Deformed, or Locked-Threaded Fastener",8,5,11,9,12,8,19,13,14,5,11,8,123
015,"Brushing, Scrubbing, and General Cleaning",14,11,6,11,11,11,9,6,8,5,13,16,121
310,"Electrical Generator or Motor Structure",4,10,13,11,16,8,1,5,4,8,18,17,115
224,"Package and Article Carriers",18,15,12,9,14,8,10,5,8,2,6,6,113
292,"Closure Fasteners",23,9,11,13,4,4,8,5,9,8,10,6,110
165,"Heat Exchange",7,20,12,11,13,8,9,5,7,2,5,7,106
307,"Electrical Transmission or Interconnection Systems",16,6,15,7,4,6,7,8,6,10,7,10,102
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",1,3,2,6,2,10,7,13,7,15,18,18,102
210,"Liquid Purification or Separation",8,14,9,7,9,7,7,9,8,4,9,9,100
301,"Land Vehicles:  Wheels and Axles",9,12,16,10,6,8,11,6,8,2,4,5,97
320,"Electricity:  Battery or Capacitor Charging or Discharging",4,11,6,8,8,3,3,7,5,7,20,13,95
200,"Electricity:  Circuit Makers and Breakers",9,11,9,11,7,6,13,6,11,6,3,1,93
174,"Electricity:  Conductors and Insulators",10,15,18,7,11,6,5,3,5,4,3,4,91
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",9,5,3,3,7,8,12,7,8,9,7,13,91
532,"Organic Compounds (includes Classes 532-570)",3,5,11,3,9,12,14,4,4,4,14,7,90
239,"Fluid Sprinkling, Spraying, and Diffusing",9,7,9,7,9,14,7,1,4,8,7,7,89
250,"Radiant Energy",5,7,11,13,6,4,17,3,6,7,3,7,89
148,"Metal Treatment",12,5,12,10,14,9,6,3,3,6,1,6,87
403,"Joints and Connections",15,12,13,10,7,4,2,8,8,4,1,2,86
417,"Pumps",10,12,12,13,11,5,3,2,3,4,4,6,85
381,"Electrical Audio Signal Processing Systems and Devices",3,3,4,6,7,9,13,3,4,5,8,19,84
425,"Plastic Article or Earthenware Shaping or Treating: Apparatus",16,6,6,5,3,3,8,10,11,7,5,4,84
024,"Buckles, Buttons, Clasps, Etc.",5,6,7,3,5,6,15,13,7,6,7,3,83
138,"Pipes and Tubular Conduits",18,19,3,6,3,5,6,3,3,3,3,10,82
454,"Ventilation",12,5,6,13,5,8,11,3,0,7,4,8,82
228,"Metal Fusion Bonding",11,7,6,9,6,3,3,6,5,1,8,16,81
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",8,4,6,5,8,9,5,11,3,2,12,5,78
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",5,6,2,4,3,9,5,11,5,7,8,11,76
277,"Seal for a Joint or Juncture",6,5,5,8,8,6,12,2,6,3,7,8,76
345,"Computer Graphics Processing and Selective Visual Display Systems",13,8,4,9,5,5,4,9,4,5,2,7,75
474,"Endless Belt Power Transmission Systems or Components",0,6,10,9,6,5,7,10,4,3,7,8,75
128,"Surgery (includes Class 600)",9,3,10,11,6,4,8,2,4,8,4,5,74
382,"Image Analysis",4,6,4,6,3,7,9,4,7,8,5,11,74
002,"Apparel",8,4,2,7,6,6,9,6,4,5,6,9,72
359,"Optical: Systems and Elements",7,12,4,7,8,5,4,3,3,9,5,5,72
016,"Miscellaneous Hardware",6,4,10,8,4,6,2,5,4,7,7,8,71
220,"Receptacles",8,9,5,8,9,4,4,1,3,5,3,12,71
004,"Baths, Closets, Sinks, and Spittoons",12,6,9,6,4,7,4,5,3,3,5,6,70
267,"Spring Devices",7,9,11,8,3,4,3,7,9,5,0,4,70
134,"Cleaning and Liquid Contact with Solids",5,3,9,8,6,7,2,4,6,5,10,4,69
141,"Fluent Material Handling, with Receiver or Receiver Coacting Means",4,10,6,10,8,5,7,4,2,6,4,2,68
343,"Communications:  Radio Wave Antennas",10,11,8,3,1,4,7,7,4,6,5,2,68
435,"Chemistry: Molecular Biology and Microbiology",10,5,4,7,6,7,3,2,3,5,9,7,68
198,"Conveyors:  Power-Driven",12,5,10,5,6,7,8,5,0,1,6,2,67
242,"Winding, Tensioning, or Guiding",7,3,7,7,9,4,1,4,13,4,5,3,67
269,"Work Holders",10,4,9,13,6,9,3,3,2,0,4,4,67
423,"Chemistry of Inorganic Compounds",4,4,2,6,4,2,7,1,9,5,10,13,67
251,"Valves and Valve Actuation",9,7,5,3,8,4,9,6,3,3,3,5,65
707,"DP: Database and File Management or Data Structures (Data Processing)",6,1,9,3,2,2,11,5,4,6,9,7,65
451,"Abrading",9,10,1,4,4,6,13,2,3,1,4,4,61
033,"Geometrical Instruments",5,5,5,7,6,1,2,7,7,4,4,5,58
040,"Card, Picture, or Sign Exhibiting",7,4,3,5,4,8,9,2,5,6,1,3,57
252,"Compositions",10,6,2,6,8,5,2,2,6,5,3,2,57
414,"Material or Article Handling",11,7,2,7,8,5,6,2,2,3,1,3,57
206,"Special Receptacle or Package",4,9,4,3,4,8,6,2,7,2,5,2,56
204,"Chemistry:  Electrical and Wave Energy",6,7,8,8,9,1,1,1,3,1,2,8,55
384,"Bearings",5,5,6,7,5,6,5,3,6,2,3,2,55
164,"Metal Founding",3,7,6,10,0,7,6,3,3,1,4,3,53
438,"Semiconductor Device Manufacturing: Process",3,7,5,1,7,1,3,1,3,8,4,9,52
181,"Acoustics",3,1,0,5,4,6,7,4,2,5,9,5,51
356,"Optics:  Measuring and Testing",4,3,1,3,2,4,4,10,7,4,4,5,51
410,"Freight Accommodation On Freight Carrier",7,4,1,1,4,6,6,7,1,2,3,8,50
606,"Surgery (instruments)",4,5,3,3,1,1,3,3,2,4,10,9,48
315,"Electric Lamp and Discharge Devices:  Systems",5,7,7,3,7,2,3,2,4,3,1,3,47
118,"Coating Apparatus",4,6,8,6,4,3,2,1,2,3,5,2,46
294,"Handling:  Hand and Hoist-Line Implements",9,8,6,3,2,2,4,3,0,0,5,4,46
083,"Cutting",6,3,3,4,6,0,4,8,1,6,1,3,45
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",1,5,2,4,1,3,6,8,4,1,5,5,45
092,"Expansible Chamber Devices",1,2,10,7,1,2,6,3,3,4,2,3,44
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",3,2,6,11,8,4,2,0,2,0,1,5,44
055,"Gas Separation",0,2,2,2,7,2,1,0,3,8,7,9,43
205,"Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions",3,3,2,2,2,4,5,5,1,8,5,3,43
363,"Electric Power Conversion Systems",1,6,5,4,1,6,3,7,2,5,1,2,43
081,"Tools",6,5,1,3,3,3,8,5,3,3,1,1,42
