Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",52,68,58,59,28,39,66,52,53,46,61,56,638
435,"Chemistry: Molecular Biology and Microbiology",30,32,26,37,25,15,36,32,33,20,32,20,338
370,"Multiplex Communications",14,16,13,14,21,12,15,11,16,8,13,31,184
455,"Telecommunications",23,24,19,13,9,6,17,13,8,15,19,9,175
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",10,11,4,9,10,12,9,12,12,22,28,33,172
532,"Organic Compounds (includes Classes 532-570)",15,21,14,12,8,11,10,12,11,11,15,12,152
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",0,2,2,9,3,12,8,10,15,14,23,30,128
707,"DP: Database and File Management or Data Structures (Data Processing)",2,4,6,7,7,5,8,1,6,7,26,20,99
375,"Pulse or Digital Communications",2,7,4,15,14,14,5,4,2,6,7,18,98
128,"Surgery (includes Class 600)",12,4,8,13,5,7,7,7,9,6,8,10,96
438,"Semiconductor Device Manufacturing: Process",3,4,3,4,3,6,15,9,12,12,10,12,93
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",10,3,7,6,3,2,12,8,6,10,8,10,85
711,"Memory (Electrical Computers and Digital Processing Systems)",5,9,3,4,5,3,2,8,9,13,12,9,82
713,"Support (Electrical Computers and Digital Processing Systems)",2,2,4,3,5,6,15,6,8,8,12,10,81
714,"Error Detection/Correction and Fault Detection/Recovery",4,4,2,9,3,2,10,6,3,7,10,11,71
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",5,2,1,1,5,3,3,7,5,8,9,14,63
361,"Electricity:  Electrical Systems and Devices",4,4,9,3,5,2,2,4,4,8,8,3,56
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",5,0,4,6,1,6,2,4,5,8,6,8,55
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",7,4,5,4,9,10,6,3,1,1,1,1,52
340,"Communications:  Electrical",5,4,2,0,2,3,5,1,9,10,6,2,49
710,"Input/Output (Electrical Computers and Digital Processing Systems)",4,4,6,3,3,4,5,2,5,3,6,4,49
345,"Computer Graphics Processing and Selective Visual Display Systems",0,2,2,1,4,3,7,5,5,6,6,7,48
606,"Surgery (instruments)",4,5,3,4,3,5,5,1,2,4,6,3,45
356,"Optics:  Measuring and Testing",1,0,0,5,1,1,6,4,7,11,3,5,44
726,"Information Security",2,2,2,2,1,3,7,4,3,4,8,6,44
365,"Static Information Storage and Retrieval",0,1,2,2,4,5,10,3,7,3,4,2,43
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",5,0,4,1,2,1,6,4,3,1,4,6,37
379,"Telephonic Communications",4,7,0,5,1,5,4,2,3,1,1,3,36
717,"DP: Software Development, Installation, and Management (Data Processing)",2,6,3,2,3,0,2,2,2,6,4,4,36
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",1,2,0,0,1,2,4,5,1,2,7,8,33
330,"Amplifiers",1,5,5,5,6,1,2,1,0,1,1,2,30
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",1,1,3,3,2,0,3,0,4,3,4,4,28
436,"Chemistry: Analytical and Immunological Testing",1,0,2,2,4,2,3,2,2,3,4,3,28
073,"Measuring and Testing",4,4,1,3,0,4,6,1,0,0,1,3,27
385,"Optical Waveguides",2,1,3,4,2,1,2,4,6,0,1,1,27
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",1,2,2,3,2,1,4,3,1,3,3,1,26
250,"Radiant Energy",2,2,3,0,3,0,0,3,1,5,1,4,24
718,"Virtual Machine Task or Process Management or Task Management/Control (Electrical Computers and Digital Processing Systems)",2,1,1,0,4,3,1,2,5,1,0,4,24
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",1,1,3,3,5,2,1,1,2,1,1,2,23
323,"Electricity:  Power Supply or Regulation Systems",1,0,3,2,2,2,6,1,0,0,1,4,22
427,"Coating Processes",5,3,3,2,0,0,4,2,0,2,0,1,22
029,"Metal Working",2,0,0,1,0,2,1,2,0,1,3,9,21
134,"Cleaning and Liquid Contact with Solids",2,2,2,6,3,2,1,0,1,0,1,0,20
359,"Optical: Systems and Elements",0,1,3,1,3,3,0,1,1,1,3,3,20
378,"X-Ray or Gamma Ray Systems or Devices",1,0,0,1,0,4,2,3,2,3,2,2,20
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",0,0,3,2,2,1,2,0,4,0,2,4,20
362,"Illumination",0,1,1,1,0,0,1,1,1,2,3,8,19
382,"Image Analysis",1,0,1,0,3,0,1,2,1,3,3,4,19
056,"Harvesters",0,0,0,0,3,4,4,3,1,2,0,1,18
204,"Chemistry:  Electrical and Wave Energy",0,1,1,4,1,2,1,2,1,1,1,3,18
604,"Surgery (Medicators and Receptors)",0,1,1,2,0,1,1,2,1,3,3,3,18
062,"Refrigeration",1,6,4,2,1,1,0,1,1,0,0,0,17
428,"Stock Material or Miscellaneous Articles",3,0,3,0,2,0,1,0,2,2,2,2,17
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",0,1,0,2,3,3,3,1,1,0,2,1,17
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",0,1,2,2,1,2,1,0,1,3,1,3,17
053,"Package Making",0,0,0,1,1,2,2,1,1,4,1,3,16
219,"Electric Heating",4,4,2,2,2,1,0,0,0,1,0,0,16
221,"Article Dispensing",1,0,0,1,0,4,1,0,1,0,3,5,16
324,"Electricity:  Measuring and Testing",1,2,0,2,0,1,1,1,2,0,3,3,16
341,"Coded Data Generation or Conversion",0,1,1,0,0,0,1,0,7,4,2,0,16
343,"Communications:  Radio Wave Antennas",5,2,1,1,2,2,1,0,0,1,0,1,16
117,"Single-Crystal, Oriented-Crystal, and Epitaxy Growth Processes; Non-Coating Apparatus Therefor",0,0,0,0,4,1,1,3,4,1,0,0,14
