Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",218,235,210,251,201,195,252,226,217,278,330,340,2953
435,"Chemistry: Molecular Biology and Microbiology",213,247,312,246,192,181,227,191,161,177,231,209,2587
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",78,80,103,83,106,97,183,191,213,235,368,346,2083
707,"DP: Database and File Management or Data Structures (Data Processing)",79,82,98,106,100,106,137,130,133,195,386,356,1908
370,"Multiplex Communications",59,62,85,101,144,105,161,132,206,244,295,290,1884
438,"Semiconductor Device Manufacturing: Process",171,155,178,167,167,136,134,128,107,111,151,115,1720
345,"Computer Graphics Processing and Selective Visual Display Systems",93,104,102,100,106,104,127,133,90,118,158,188,1423
606,"Surgery (instruments)",129,116,129,118,118,70,81,70,56,69,122,196,1274
128,"Surgery (includes Class 600)",126,110,127,103,90,72,79,62,72,87,156,180,1264
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",60,66,93,87,104,102,86,69,68,77,103,103,1018
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",29,25,24,28,24,44,69,55,83,121,230,271,1003
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",47,46,50,42,34,42,92,208,183,63,71,63,941
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",55,63,56,42,48,47,89,82,73,103,148,134,940
382,"Image Analysis",38,38,46,53,42,56,86,86,91,108,118,136,898
711,"Memory (Electrical Computers and Digital Processing Systems)",54,43,59,64,83,86,76,71,81,68,79,98,862
532,"Organic Compounds (includes Classes 532-570)",51,57,83,45,52,49,85,50,87,89,85,93,826
365,"Static Information Storage and Retrieval",78,76,71,54,62,59,81,77,85,51,53,63,810
455,"Telecommunications",25,32,21,42,37,33,77,81,67,88,113,145,761
714,"Error Detection/Correction and Fault Detection/Recovery",31,32,26,37,54,57,74,61,81,75,97,80,705
356,"Optics:  Measuring and Testing",29,29,24,59,63,71,93,70,88,56,68,46,696
324,"Electricity:  Measuring and Testing",35,39,44,46,68,63,72,72,51,55,80,69,694
250,"Radiant Energy",31,55,64,63,70,63,62,60,61,47,51,54,681
359,"Optical: Systems and Elements",36,38,50,68,55,61,72,62,60,56,70,50,678
713,"Support (Electrical Computers and Digital Processing Systems)",30,26,24,26,27,45,58,66,64,86,99,104,655
375,"Pulse or Digital Communications",33,27,33,49,44,39,70,66,46,63,104,68,642
360,"Dynamic Magnetic Information Storage or Retrieval",43,59,55,48,57,47,56,59,41,58,52,58,633
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",10,18,33,46,43,84,108,43,46,59,65,59,614
385,"Optical Waveguides",21,38,55,55,66,66,69,64,49,48,40,27,598
604,"Surgery (Medicators and Receptors)",48,72,52,68,44,30,41,30,28,29,54,57,553
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",18,13,26,60,50,48,61,41,37,40,73,73,540
361,"Electricity:  Electrical Systems and Devices",28,39,46,43,43,33,38,47,40,44,65,55,521
710,"Input/Output (Electrical Computers and Digital Processing Systems)",48,46,40,35,45,36,53,36,43,43,42,47,514
717,"DP: Software Development, Installation, and Management (Data Processing)",26,18,20,16,31,24,77,51,47,55,69,70,504
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",24,27,30,44,34,24,26,40,25,27,52,62,415
428,"Stock Material or Miscellaneous Articles",39,41,29,50,56,36,31,30,21,20,23,35,411
326,"Electronic Digital Logic Circuitry",28,31,37,32,34,44,22,37,30,37,31,27,390
726,"Information Security",13,17,7,5,8,7,23,35,28,50,88,107,388
340,"Communications:  Electrical",24,22,18,19,14,24,29,28,41,44,45,60,368
348,"Television",24,19,32,29,28,19,34,28,28,29,46,40,356
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",24,30,25,21,24,24,23,23,38,27,44,52,355
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",30,29,39,37,29,17,30,27,21,34,29,30,352
204,"Chemistry:  Electrical and Wave Energy",31,29,39,37,38,22,30,15,22,19,22,24,328
379,"Telephonic Communications",27,30,23,18,29,20,24,23,16,29,39,46,324
439,"Electrical Connectors",30,38,25,16,13,15,33,18,32,19,34,39,312
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",8,16,28,24,23,25,35,27,16,22,34,38,296
725,"Interactive Video Distribution Systems",12,10,16,16,19,11,20,16,22,39,41,62,284
073,"Measuring and Testing",16,24,23,27,24,25,35,19,23,18,24,21,279
