Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",266,256,206,176,127,58,85,69,65,86,106,84,1584
399,"Electrophotography",107,137,116,116,89,70,92,120,81,72,109,137,1246
347,"Incremental Printing of Symbolic Information",117,155,185,143,115,79,45,55,49,38,79,83,1143
358,"Facsimile and Static Presentation Processing",48,60,50,61,70,82,101,67,74,87,142,124,966
382,"Image Analysis",53,83,59,87,99,63,83,78,57,70,86,69,887
428,"Stock Material or Miscellaneous Articles",41,47,63,66,77,56,62,55,28,32,34,34,595
396,"Photography",109,76,52,47,44,14,16,10,7,5,6,3,389
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",7,5,21,22,28,30,26,26,30,34,82,77,388
348,"Television",18,24,24,31,26,34,44,24,27,25,44,36,357
359,"Optical: Systems and Elements",30,21,22,41,33,34,24,9,14,14,17,19,278
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",23,20,25,21,19,19,22,18,16,13,16,31,243
123,"Internal-Combustion Engines",9,20,43,25,29,19,19,19,17,12,9,6,227
345,"Computer Graphics Processing and Selective Visual Display Systems",10,11,10,10,16,21,33,27,19,15,16,25,213
271,"Sheet Feeding or Delivering",15,21,16,23,8,12,8,8,12,23,33,29,208
250,"Radiant Energy",14,23,14,11,19,11,24,17,23,21,17,10,204
356,"Optics:  Measuring and Testing",22,9,14,21,12,9,10,24,22,13,21,21,198
427,"Coating Processes",11,13,14,18,19,8,6,15,6,16,17,13,156
313,"Electric Lamp and Discharge Devices",5,5,2,5,10,11,14,13,10,17,28,23,143
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",9,8,18,25,10,8,5,10,4,1,9,7,114
438,"Semiconductor Device Manufacturing: Process",8,9,8,9,6,7,7,10,11,7,13,19,114
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",9,4,7,8,5,7,14,4,8,7,15,17,105
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",20,14,10,6,8,4,7,3,5,12,6,9,104
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",5,5,6,12,7,9,12,10,7,6,10,15,104
029,"Metal Working",8,6,18,9,3,8,4,9,5,4,9,14,97
435,"Chemistry: Molecular Biology and Microbiology",10,9,8,9,7,7,10,3,8,5,10,10,96
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",5,10,8,13,13,8,7,7,4,3,10,5,93
349,"Liquid Crystal Cells, Elements and Systems",4,3,4,9,11,16,14,9,6,8,4,4,92
128,"Surgery (includes Class 600)",7,8,8,14,10,7,8,5,5,3,7,9,91
106,"Compositions:  Coating or Plastic",18,12,6,9,10,5,7,2,1,9,3,0,82
532,"Organic Compounds (includes Classes 532-570)",12,8,11,12,6,5,8,5,6,4,0,4,81
340,"Communications:  Electrical",1,2,3,1,5,6,8,11,5,10,13,11,76
351,"Optics:  Eye Examining, Vision Testing and Correcting",8,8,6,4,9,4,9,8,7,4,3,6,76
355,"Photocopying",19,9,16,10,9,8,3,1,1,0,0,0,76
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",0,2,1,2,0,9,7,13,6,3,14,19,76
353,"Optics:  Image Projectors",2,0,6,7,17,15,4,5,2,4,0,12,74
503,"Record Receiver Having Plural Interactive Leaves or a Colorless Color Former, Method of Use, or Developer Therefor",15,11,5,3,4,9,9,6,0,1,2,1,66
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",2,3,6,11,9,8,5,3,4,5,4,6,66
385,"Optical Waveguides",1,0,4,4,6,6,17,16,3,4,3,0,64
707,"DP: Database and File Management or Data Structures (Data Processing)",4,4,3,3,5,2,5,6,4,5,11,12,64
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",4,5,4,11,1,4,8,4,6,5,8,3,63
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",4,1,1,3,10,1,5,3,6,5,12,11,62
400,"Typewriting Machines",8,4,7,10,8,4,4,3,3,4,4,2,61
378,"X-Ray or Gamma Ray Systems or Devices",1,3,9,5,2,4,5,2,7,5,9,8,60
375,"Pulse or Digital Communications",1,0,6,2,1,1,1,7,8,8,6,15,56
073,"Measuring and Testing",6,6,13,7,7,7,1,0,1,2,2,2,54
324,"Electricity:  Measuring and Testing",3,8,5,8,3,3,5,1,3,4,6,5,54
451,"Abrading",3,10,3,7,9,7,2,3,4,1,4,1,54
210,"Liquid Purification or Separation",9,4,4,3,6,2,1,6,10,0,2,5,52
455,"Telecommunications",3,2,3,1,4,2,8,3,4,8,7,6,51
219,"Electric Heating",4,9,8,7,6,2,5,1,1,1,4,1,49
713,"Support (Electrical Computers and Digital Processing Systems)",1,0,3,1,2,2,3,5,8,7,5,10,47
362,"Illumination",1,3,1,1,2,5,5,5,4,11,4,4,46
372,"Coherent Light Generators",1,2,1,2,9,13,8,2,1,3,2,2,46
252,"Compositions",2,4,4,6,5,2,3,2,7,4,4,2,45
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",1,0,4,6,3,4,4,4,4,5,3,7,45
118,"Coating Apparatus",3,3,6,9,4,5,0,1,1,4,2,6,44
366,"Agitating (e.g., of articles and materials)",2,3,6,7,8,2,4,3,4,3,1,1,44
239,"Fluid Sprinkling, Spraying, and Diffusing",6,4,4,10,8,1,5,2,0,1,2,0,43
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",5,1,0,3,6,4,3,1,3,5,6,6,43
607,"Surgery: Light, Thermal, and Electrical Application",0,0,0,2,14,6,6,0,2,7,4,2,43
370,"Multiplex Communications",1,0,1,1,6,1,3,3,3,4,12,7,42
101,"Printing",6,6,6,7,7,2,2,0,2,0,1,2,41
