Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
438,"Semiconductor Device Manufacturing: Process",395,465,485,411,444,354,367,322,260,197,240,213,4153
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",184,198,212,255,298,254,229,207,197,145,186,160,2525
365,"Static Information Storage and Retrieval",140,142,139,146,152,143,151,140,123,105,97,112,1590
358,"Facsimile and Static Presentation Processing",23,7,14,34,35,37,87,64,59,34,21,24,439
324,"Electricity:  Measuring and Testing",36,55,83,40,45,37,41,48,23,13,4,10,435
451,"Abrading",15,53,70,46,37,42,52,33,13,7,2,5,375
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",18,16,20,23,43,27,36,36,32,26,30,29,336
714,"Error Detection/Correction and Fault Detection/Recovery",33,31,22,41,19,22,19,19,23,15,14,20,278
711,"Memory (Electrical Computers and Digital Processing Systems)",18,30,23,19,25,29,39,19,15,10,14,17,258
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",22,26,39,26,24,15,7,15,16,10,20,16,236
399,"Electrophotography",19,14,28,44,43,26,16,5,9,2,6,2,214
029,"Metal Working",28,21,16,27,32,13,24,17,7,9,4,4,202
361,"Electricity:  Electrical Systems and Devices",26,32,44,28,27,9,12,3,4,2,2,4,193
340,"Communications:  Electrical",24,19,18,14,14,7,17,6,8,10,15,15,167
710,"Input/Output (Electrical Computers and Digital Processing Systems)",23,14,12,20,20,17,16,10,6,3,7,12,160
713,"Support (Electrical Computers and Digital Processing Systems)",9,12,14,7,12,15,20,13,14,7,8,11,142
326,"Electronic Digital Logic Circuitry",12,18,15,13,10,11,12,9,5,11,9,11,136
427,"Coating Processes",14,12,14,10,9,16,9,9,13,8,4,11,129
347,"Incremental Printing of Symbolic Information",7,9,19,24,15,14,11,10,10,2,6,1,128
313,"Electric Lamp and Discharge Devices",14,21,22,22,15,5,10,5,0,5,2,0,121
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",14,18,16,21,19,11,6,3,2,3,3,3,119
118,"Coating Apparatus",13,13,19,15,11,16,8,6,4,6,4,1,116
250,"Radiant Energy",3,7,4,3,3,3,10,21,14,14,23,7,112
228,"Metal Fusion Bonding",18,27,21,15,6,11,4,2,2,1,3,1,111
345,"Computer Graphics Processing and Selective Visual Display Systems",14,12,21,14,10,6,6,3,7,5,7,4,109
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",2,4,6,7,7,15,16,9,12,6,7,12,103
216,"Etching a Substrate:  Processes",10,7,15,12,8,4,10,4,6,11,8,6,101
445,"Electric Lamp or Space Discharge Component or Device Manufacturing",21,15,22,9,10,5,6,0,2,0,0,1,91
134,"Cleaning and Liquid Contact with Solids",13,12,11,14,6,8,3,4,5,0,6,1,83
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",7,7,8,10,11,8,9,4,4,3,3,2,76
348,"Television",2,1,0,2,1,1,3,4,5,13,21,20,73
439,"Electrical Connectors",8,13,13,10,2,8,8,3,3,2,1,0,71
174,"Electricity:  Conductors and Insulators",6,10,13,5,5,9,7,1,2,3,3,1,65
204,"Chemistry:  Electrical and Wave Energy",13,11,11,8,8,2,4,0,1,1,3,1,63
360,"Dynamic Magnetic Information Storage or Retrieval",9,10,4,7,5,1,5,9,3,2,4,4,63
382,"Image Analysis",3,3,6,4,3,7,5,7,9,6,6,2,61
428,"Stock Material or Miscellaneous Articles",9,6,4,12,9,6,2,2,1,1,3,1,56
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",4,4,7,10,7,4,7,5,1,5,2,0,56
219,"Electric Heating",11,6,9,5,6,6,1,3,1,3,0,1,52
356,"Optics:  Measuring and Testing",4,9,9,8,4,3,4,4,4,3,0,0,52
455,"Telecommunications",5,3,3,7,6,6,5,1,1,2,4,6,49
707,"DP: Database and File Management or Data Structures (Data Processing)",3,2,4,5,4,4,4,7,6,3,4,1,47
359,"Optical: Systems and Elements",0,1,0,3,0,4,4,9,7,2,9,6,45
369,"Dynamic Information Storage or Retrieval",4,1,1,5,7,3,7,6,7,3,1,0,45
341,"Coded Data Generation or Conversion",3,2,3,3,3,2,3,2,5,7,5,5,43
400,"Typewriting Machines",0,2,4,12,13,7,4,0,1,0,0,0,43
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",3,3,5,3,2,5,7,4,2,2,3,3,42
271,"Sheet Feeding or Delivering",2,5,4,5,5,7,4,2,3,3,1,0,41
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",5,2,1,0,1,4,5,3,2,4,5,9,41
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",3,3,2,15,3,4,2,2,0,1,4,1,40
370,"Multiplex Communications",5,6,3,2,8,1,2,2,3,2,2,3,39
375,"Pulse or Digital Communications",0,1,5,1,2,6,7,1,6,3,2,5,39
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",1,2,2,3,3,4,6,2,3,3,3,5,37
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",1,1,4,1,0,0,3,2,5,4,9,7,37
210,"Liquid Purification or Separation",1,4,3,2,4,2,4,6,2,5,2,1,36
355,"Photocopying",2,1,4,5,4,3,5,3,3,2,2,2,36
073,"Measuring and Testing",7,1,5,5,4,3,4,0,1,1,3,1,35
083,"Cutting",4,2,3,6,6,6,4,0,1,1,0,1,34
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",2,5,4,8,5,3,3,1,0,0,2,1,34
252,"Compositions",3,1,2,10,5,3,3,4,1,1,1,0,34
205,"Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions",2,1,2,4,3,0,3,4,2,8,1,2,32
