Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
359,"Optical: Systems and Elements",5,6,10,4,11,10,8,11,2,3,15,6,91
438,"Semiconductor Device Manufacturing: Process",12,8,10,7,6,6,4,4,8,5,10,9,89
356,"Optics:  Measuring and Testing",9,3,4,6,7,7,8,2,8,14,6,8,82
250,"Radiant Energy",6,8,9,5,8,2,9,4,7,8,5,4,75
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",7,5,5,10,13,9,7,7,3,2,4,3,75
385,"Optical Waveguides",3,3,6,5,7,7,4,6,5,4,2,6,58
073,"Measuring and Testing",5,6,8,4,7,4,6,6,2,0,2,7,57
382,"Image Analysis",0,2,0,5,3,2,1,5,7,10,8,5,48
128,"Surgery (includes Class 600)",4,7,4,5,4,3,3,4,1,2,3,6,46
372,"Coherent Light Generators",0,1,3,13,7,1,3,1,4,4,5,3,45
340,"Communications:  Electrical",5,3,0,1,5,3,0,6,1,5,8,7,44
310,"Electrical Generator or Motor Structure",1,8,6,5,7,5,1,0,1,3,4,2,43
427,"Coating Processes",9,2,6,0,2,2,4,3,0,6,5,4,43
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",1,3,6,6,5,3,2,3,5,2,3,3,42
428,"Stock Material or Miscellaneous Articles",3,4,6,9,1,5,2,2,0,3,2,3,40
326,"Electronic Digital Logic Circuitry",2,8,4,5,3,3,2,1,2,3,4,2,39
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",0,1,2,2,6,5,4,6,1,2,5,2,36
252,"Compositions",2,7,0,6,0,1,7,3,2,2,1,2,33
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",10,3,4,4,1,1,0,1,2,2,4,1,33
075,"Specialized Metallurgical Processes, Compositions for Use Therein, Consolidated Metal Powder Compositions, and Loose Metal Particulate Mixtures",3,2,0,0,4,1,3,1,4,6,3,3,30
345,"Computer Graphics Processing and Selective Visual Display Systems",2,3,2,1,2,3,5,0,3,0,6,3,30
210,"Liquid Purification or Separation",2,1,1,5,8,2,2,3,2,1,1,1,29
324,"Electricity:  Measuring and Testing",2,3,6,1,3,1,0,1,3,2,2,5,29
365,"Static Information Storage and Retrieval",2,0,3,0,1,0,7,4,2,0,3,4,26
435,"Chemistry: Molecular Biology and Microbiology",3,5,1,4,0,3,0,4,2,0,1,3,26
219,"Electric Heating",2,3,5,2,3,1,4,1,1,0,3,0,25
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",2,2,1,2,4,0,8,1,3,1,1,0,25
351,"Optics:  Eye Examining, Vision Testing and Correcting",2,1,1,5,0,0,1,1,4,3,1,5,24
436,"Chemistry: Analytical and Immunological Testing",0,1,2,2,1,2,5,1,2,2,4,2,24
204,"Chemistry:  Electrical and Wave Energy",3,4,2,3,1,1,0,0,2,2,2,3,23
