Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",65,60,45,42,47,32,47,38,28,25,43,27,499
428,"Stock Material or Miscellaneous Articles",23,35,16,36,26,28,23,16,28,17,31,47,326
128,"Surgery (includes Class 600)",18,17,30,29,16,21,16,18,14,21,29,30,259
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",29,18,15,18,11,11,16,12,8,8,19,18,183
335,"Electricity:  Magnetically Operated Switches, Magnets, and Electromagnets",12,28,13,10,13,13,12,5,9,17,9,3,144
435,"Chemistry: Molecular Biology and Microbiology",9,11,14,7,17,6,11,10,12,16,10,18,141
360,"Dynamic Magnetic Information Storage or Retrieval",1,1,3,14,31,10,10,6,5,13,14,16,124
356,"Optics:  Measuring and Testing",1,3,3,4,3,2,15,12,19,24,21,10,117
532,"Organic Compounds (includes Classes 532-570)",12,11,12,11,9,8,13,7,5,8,7,13,116
604,"Surgery (Medicators and Receptors)",10,9,12,8,16,7,9,6,10,12,11,3,113
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",6,6,3,2,0,3,4,9,8,27,25,18,111
361,"Electricity:  Electrical Systems and Devices",10,6,14,11,10,6,6,8,12,15,6,6,110
427,"Coating Processes",16,6,8,12,8,5,4,4,7,10,15,9,104
324,"Electricity:  Measuring and Testing",7,1,9,5,20,13,10,13,3,5,8,5,99
707,"DP: Database and File Management or Data Structures (Data Processing)",9,6,8,9,9,6,7,1,10,6,16,11,98
200,"Electricity:  Circuit Makers and Breakers",10,1,10,7,9,7,11,6,9,9,7,9,95
052,"Static Structures (e.g., Buildings)",9,12,9,4,9,6,3,1,5,8,17,7,90
073,"Measuring and Testing",9,7,12,5,6,6,7,9,10,4,6,7,88
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",5,4,4,7,6,6,11,4,4,6,16,15,88
204,"Chemistry:  Electrical and Wave Energy",16,12,11,6,7,5,4,6,4,2,6,5,84
340,"Communications:  Electrical",9,5,6,6,8,6,5,6,7,9,7,10,84
382,"Image Analysis",4,1,5,3,6,4,14,7,5,2,12,20,83
148,"Metal Treatment",11,14,11,9,4,6,6,3,3,5,5,3,80
210,"Liquid Purification or Separation",11,8,4,4,2,12,9,3,8,6,7,5,79
370,"Multiplex Communications",3,4,6,7,4,7,8,6,7,10,7,4,73
407,"Cutters, for Shaping",5,2,3,9,10,3,9,3,8,6,2,11,71
250,"Radiant Energy",2,4,2,4,8,11,10,5,5,10,5,3,69
359,"Optical: Systems and Elements",6,0,4,6,3,4,2,5,12,7,6,13,68
029,"Metal Working",3,8,6,6,7,4,4,8,2,3,8,4,63
501,"Compositions: Ceramic",3,8,5,4,5,7,5,5,6,3,11,0,62
252,"Compositions",10,3,5,7,5,3,3,3,5,5,8,3,60
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",2,0,0,9,6,8,8,3,7,2,4,8,57
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",3,3,2,0,3,5,3,2,4,7,16,8,56
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",3,10,4,6,8,4,3,1,4,4,5,1,53
362,"Illumination",6,4,5,7,6,5,4,4,2,4,3,3,53
423,"Chemistry of Inorganic Compounds",4,6,3,4,4,3,3,6,1,6,7,6,53
606,"Surgery (instruments)",8,7,8,6,3,3,3,0,0,7,4,4,53
376,"Induced Nuclear Reactions:  Processes, Systems, and Elements",5,8,4,3,6,5,5,2,2,2,2,6,50
405,"Hydraulic and Earth Engineering",5,2,6,8,2,1,4,5,4,2,5,3,47
137,"Fluid Handling",10,5,5,8,2,4,4,0,1,5,1,1,46
205,"Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions",7,7,11,7,2,1,2,3,1,2,1,2,46
218,"High-Voltage Switches with Arc Preventing or Extinguishing Devices",1,6,7,2,4,1,9,5,1,4,2,3,45
