Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
707,"DP: Database and File Management or Data Structures (Data Processing)",54,55,105,71,77,100,129,178,260,429,531,354,2341
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",39,38,47,62,73,90,148,162,218,310,365,366,1915
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",58,45,43,57,62,68,118,150,214,253,253,178,1497
345,"Computer Graphics Processing and Selective Visual Display Systems",48,58,56,55,69,61,133,120,115,137,118,116,1084
717,"DP: Software Development, Installation, and Management (Data Processing)",25,31,42,21,38,40,77,96,81,150,197,118,913
713,"Support (Electrical Computers and Digital Processing Systems)",9,17,12,16,23,40,87,115,114,159,158,91,838
382,"Image Analysis",30,22,22,39,52,36,122,91,91,83,101,84,771
455,"Telecommunications",17,33,24,21,34,55,91,73,82,77,93,110,708
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",50,48,59,61,34,47,54,57,35,38,81,65,626
704,"DP: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression (Data Processing)",15,19,18,16,16,22,74,76,80,92,92,81,599
370,"Multiplex Communications",14,15,18,15,25,28,44,33,68,88,110,116,570
726,"Information Security",4,9,7,4,7,11,25,53,64,115,151,119,566
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",15,7,10,11,7,18,37,36,49,70,147,153,558
719,"Interprogram Communication or Interprocess Communication (Ipc) (Electrical Computers and Digital Processing Systems)",11,22,21,10,37,36,55,23,78,83,82,44,499
128,"Surgery (includes Class 600)",40,52,58,61,42,31,35,29,17,43,51,37,494
435,"Chemistry: Molecular Biology and Microbiology",48,42,46,36,24,36,36,27,32,52,50,39,467
714,"Error Detection/Correction and Fault Detection/Recovery",11,15,19,24,26,21,36,51,70,63,70,61,464
244,"Aeronautics and Astronautics",29,24,15,25,40,43,37,37,31,47,38,66,428
711,"Memory (Electrical Computers and Digital Processing Systems)",13,8,15,25,20,24,53,28,53,47,57,48,387
340,"Communications:  Electrical",20,8,14,13,22,17,21,27,39,39,32,49,297
710,"Input/Output (Electrical Computers and Digital Processing Systems)",7,13,19,20,33,20,21,30,13,36,41,29,281
073,"Measuring and Testing",21,14,15,19,10,27,24,20,40,26,28,16,258
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",9,16,14,17,21,5,15,19,18,23,40,62,256
607,"Surgery: Light, Thermal, and Electrical Application",11,28,14,24,13,25,25,24,9,13,22,35,242
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",3,2,4,7,22,21,34,29,28,29,30,37,242
706,"DP: Artificial Intelligence (Data Processing)",4,6,10,14,10,8,15,16,28,37,48,47,240
324,"Electricity:  Measuring and Testing",14,16,15,20,16,16,16,20,20,17,22,32,221
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",14,15,20,25,15,16,14,20,16,28,19,17,217
375,"Pulse or Digital Communications",6,10,14,6,13,15,14,14,22,37,30,32,210
718,"Virtual Machine Task or Process Management or Task Management/Control (Electrical Computers and Digital Processing Systems)",10,9,8,6,13,15,26,19,17,16,41,30,208
532,"Organic Compounds (includes Classes 532-570)",15,9,16,16,15,16,15,13,9,17,23,26,187
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",4,9,3,3,6,13,23,24,23,27,26,23,182
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",3,8,3,9,12,8,19,13,23,27,24,30,176
379,"Telephonic Communications",6,7,10,6,7,14,20,19,10,17,26,31,171
359,"Optical: Systems and Elements",7,12,9,14,19,9,9,15,17,10,31,19,167
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",22,11,10,6,4,4,15,20,17,23,17,20,166
250,"Radiant Energy",1,8,6,11,12,12,19,15,17,13,25,22,160
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",8,13,8,12,13,7,13,12,15,23,14,22,158
361,"Electricity:  Electrical Systems and Devices",5,12,15,16,12,16,10,17,11,18,11,17,157
439,"Electrical Connectors",8,9,13,17,8,11,14,21,11,10,21,14,154
348,"Television",2,5,5,9,13,10,12,15,18,30,17,19,152
725,"Interactive Video Distribution Systems",2,4,3,6,3,11,14,15,11,22,31,19,138
463,"Amusement Devices: Games",2,2,2,15,14,8,8,8,13,10,26,29,135
356,"Optics:  Measuring and Testing",5,2,8,6,10,10,11,13,23,15,13,19,132
029,"Metal Working",7,9,9,10,11,10,13,12,7,12,19,16,131
428,"Stock Material or Miscellaneous Articles",6,15,12,18,16,5,6,7,5,9,14,17,127
380,"Cryptography",4,2,4,1,2,7,15,16,17,22,19,20,126
385,"Optical Waveguides",1,1,4,8,10,12,4,16,21,18,14,15,122
606,"Surgery (instruments)",12,12,14,16,7,3,2,6,4,8,7,17,106
358,"Facsimile and Static Presentation Processing",1,4,8,6,6,4,9,11,13,16,20,11,106
604,"Surgery (Medicators and Receptors)",7,12,9,20,8,6,5,3,3,4,14,13,101
052,"Static Structures (e.g., Buildings)",9,13,8,5,10,7,6,4,8,6,15,12,99
482,"Exercise Devices",3,4,4,6,4,6,11,7,3,11,18,18,92
