Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",3,7,6,3,3,4,26,17,15,22,54,39,198
379,"Telephonic Communications",19,13,13,22,18,15,16,10,7,12,11,27,183
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",21,21,20,16,12,9,8,6,10,18,17,21,179
360,"Dynamic Magnetic Information Storage or Retrieval",15,16,19,13,18,12,23,11,12,14,14,11,178
128,"Surgery (includes Class 600)",9,13,25,23,6,15,11,11,8,9,13,12,154
370,"Multiplex Communications",13,12,4,15,10,5,10,6,12,15,22,26,150
210,"Liquid Purification or Separation",8,7,5,5,11,13,15,17,18,8,17,13,137
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",8,5,7,5,9,8,16,13,8,15,21,18,133
435,"Chemistry: Molecular Biology and Microbiology",7,14,9,13,9,8,14,8,11,10,11,12,126
439,"Electrical Connectors",25,16,10,6,17,4,8,8,10,4,7,4,119
607,"Surgery: Light, Thermal, and Electrical Application",11,15,15,14,6,6,7,5,8,5,9,8,109
428,"Stock Material or Miscellaneous Articles",8,9,11,15,10,4,11,9,6,3,13,8,107
725,"Interactive Video Distribution Systems",4,1,3,7,6,2,10,7,9,8,23,25,105
707,"DP: Database and File Management or Data Structures (Data Processing)",2,3,4,5,6,8,9,6,9,14,21,18,105
052,"Static Structures (e.g., Buildings)",9,10,12,8,9,12,5,7,4,4,11,10,101
073,"Measuring and Testing",13,11,12,11,3,9,10,7,5,4,4,7,96
455,"Telecommunications",10,13,10,10,3,2,6,6,3,6,14,10,93
604,"Surgery (Medicators and Receptors)",7,11,10,10,11,8,3,4,2,4,11,12,92
606,"Surgery (instruments)",8,10,6,7,2,3,8,6,2,6,14,14,86
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",4,1,4,2,4,3,13,7,12,13,13,8,84
280,"Land Vehicles",13,7,3,5,9,8,2,7,5,3,16,5,83
714,"Error Detection/Correction and Fault Detection/Recovery",4,4,6,7,0,6,12,4,3,13,10,10,79
340,"Communications:  Electrical",12,5,8,3,4,2,9,7,8,5,1,11,75
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",5,6,5,10,14,4,7,4,4,2,5,7,73
166,"Wells (shafts or deep borings in the earth, e.g., for oil and gas)",6,6,1,1,5,2,6,5,11,7,11,7,67
005,"Beds",3,5,3,8,3,11,8,3,6,6,5,3,64
713,"Support (Electrical Computers and Digital Processing Systems)",1,0,0,1,5,11,13,3,5,8,9,8,64
711,"Memory (Electrical Computers and Digital Processing Systems)",3,4,5,8,4,8,7,6,7,2,5,4,63
359,"Optical: Systems and Elements",4,5,3,1,3,5,7,7,7,7,6,5,60
119,"Animal Husbandry",2,6,11,7,2,6,5,6,3,3,0,5,56
343,"Communications:  Radio Wave Antennas",3,3,1,5,6,9,9,3,6,2,3,3,53
029,"Metal Working",4,9,6,5,7,4,4,0,1,3,5,4,52
062,"Refrigeration",1,9,3,6,5,2,1,8,2,3,5,4,49
717,"DP: Software Development, Installation, and Management (Data Processing)",3,2,2,2,3,2,4,5,3,6,11,5,48
361,"Electricity:  Electrical Systems and Devices",2,5,2,3,3,3,6,3,8,4,4,3,46
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",5,1,3,3,4,4,4,7,1,3,8,4,46
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",4,7,4,3,1,5,4,6,3,3,2,4,46
356,"Optics:  Measuring and Testing",7,3,3,3,3,0,2,2,7,4,6,5,45
532,"Organic Compounds (includes Classes 532-570)",3,2,1,5,2,1,3,3,3,7,9,6,45
382,"Image Analysis",1,6,4,5,5,0,5,3,3,2,3,8,45
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",1,5,4,6,1,2,4,5,5,1,4,6,44
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",1,5,1,4,5,3,2,5,4,3,6,4,43
324,"Electricity:  Measuring and Testing",5,3,7,3,8,1,4,4,3,0,3,1,42
362,"Illumination",1,3,4,5,1,4,2,5,4,4,5,4,42
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",3,4,1,6,3,4,2,5,2,2,6,4,42
494,"Imperforate Bowl:  Centrifugal Separators",3,0,3,8,1,0,3,2,2,2,5,11,40
250,"Radiant Energy",1,5,4,4,3,2,4,4,1,2,3,7,40
244,"Aeronautics and Astronautics",5,4,6,9,2,3,1,1,3,1,2,1,38
206,"Special Receptacle or Package",6,3,5,5,3,1,1,0,3,2,5,3,37
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",1,2,4,1,3,3,1,2,4,2,5,9,37
137,"Fluid Handling",5,3,3,4,1,3,5,5,3,0,1,3,36
348,"Television",3,7,5,1,2,5,6,0,1,3,1,1,35
438,"Semiconductor Device Manufacturing: Process",1,5,4,2,2,4,1,6,0,4,1,5,35
426,"Food or Edible Material:  Processes, Compositions, and Products",5,2,1,4,4,1,0,3,0,5,6,4,35
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",4,4,2,3,3,5,2,2,2,1,5,2,35
436,"Chemistry: Analytical and Immunological Testing",3,5,4,5,4,1,0,2,2,4,2,2,34
123,"Internal-Combustion Engines",5,4,1,2,0,3,3,1,7,1,5,2,34
473,"Games Using Tangible Projectile",2,3,4,2,6,2,5,2,0,1,4,3,34
242,"Winding, Tensioning, or Guiding",4,2,2,6,6,4,2,2,2,3,1,0,34
297,"Chairs and Seats",6,0,4,2,2,5,2,2,4,4,0,2,33
002,"Apparel",4,3,6,2,5,1,4,1,1,1,2,3,33
248,"Supports (e.g., for holding articles, etc.)",8,2,3,4,4,0,2,4,2,0,3,2,33
726,"Information Security",0,1,0,3,1,1,1,4,1,3,9,8,32
174,"Electricity:  Conductors and Insulators",2,4,4,4,3,1,3,4,3,1,2,1,31
423,"Chemistry of Inorganic Compounds",2,3,4,1,2,3,2,2,1,4,4,3,31
015,"Brushing, Scrubbing, and General Cleaning",5,0,3,3,2,2,0,4,1,6,2,2,30
220,"Receptacles",5,5,3,1,2,2,5,0,0,2,2,2,29
427,"Coating Processes",4,2,3,1,1,3,0,0,2,3,4,6,29
160,"Flexible or Portable Closure, Partition, or Panel",3,1,3,0,3,1,4,1,1,6,3,4,29
273,"Amusement Devices:  Games",3,1,1,6,2,1,1,5,0,3,3,2,28
043,"Fishing, Trapping, and Vermin Destroying",3,2,5,4,3,2,2,3,2,0,2,0,28
024,"Buckles, Buttons, Clasps, Etc.",6,3,2,4,2,0,0,1,1,3,0,5,27
072,"Metal Deforming",4,2,2,2,1,3,2,5,1,1,2,2,27
385,"Optical Waveguides",1,3,7,3,3,3,0,3,2,0,1,1,27
224,"Package and Article Carriers",3,3,2,2,5,2,2,1,2,1,1,3,27
188,"Brakes",1,2,6,6,0,3,0,4,0,4,0,1,27
134,"Cleaning and Liquid Contact with Solids",0,3,1,0,1,3,2,0,2,3,8,4,27
405,"Hydraulic and Earth Engineering",4,0,4,1,4,1,2,3,0,3,3,3,27
378,"X-Ray or Gamma Ray Systems or Devices",1,2,1,0,1,4,2,1,6,2,3,3,26
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",3,0,1,3,4,0,1,2,4,2,2,4,26
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",1,2,0,1,1,4,2,3,2,2,4,4,26
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",0,0,1,0,1,1,2,9,1,3,2,6,26
433,"Dentistry",4,0,3,2,2,7,1,2,2,0,2,1,26
341,"Coded Data Generation or Conversion",1,2,4,2,5,1,3,3,1,2,0,1,25
219,"Electric Heating",3,3,0,1,2,1,2,2,3,1,4,3,25
367,"Communications, Electrical: Acoustic Wave Systems and Devices",5,0,0,0,0,5,1,1,2,3,7,1,25
704,"DP: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression (Data Processing)",0,3,3,2,3,2,6,0,2,3,0,1,25
182,"Fire Escape, Ladder, or Scaffold",3,3,3,3,6,0,2,0,2,0,1,1,24
222,"Dispensing (apparatus and process)",4,7,1,0,2,3,0,1,1,0,3,2,24
060,"Power Plants",1,1,4,3,2,2,1,3,0,0,5,2,24
434,"Education and Demonstration",2,3,2,3,3,5,1,0,1,0,0,4,23
446,"Amusement Devices:  Toys",8,4,0,2,0,3,0,1,0,0,2,3,23
239,"Fluid Sprinkling, Spraying, and Diffusing",1,0,2,3,1,1,4,0,3,3,2,3,23
296,"Land Vehicles:  Bodies and Tops",3,5,2,1,1,4,4,1,0,0,2,0,23
482,"Exercise Devices",3,0,1,3,1,1,1,2,0,1,5,4,22
030,"Cutlery",3,3,2,2,2,1,2,3,0,3,0,1,22
070,"Locks",3,0,4,2,2,1,1,3,1,0,4,1,22
375,"Pulse or Digital Communications",1,1,1,3,2,1,0,0,2,1,8,2,22
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",0,2,2,1,1,1,2,1,0,3,5,4,22
345,"Computer Graphics Processing and Selective Visual Display Systems",4,0,1,0,0,1,9,0,4,0,0,2,21
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",1,1,2,2,1,1,2,3,1,0,1,6,21
180,"Motor Vehicles",3,1,1,2,0,2,3,4,3,1,1,0,21
