Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
385,"Optical Waveguides",1,3,5,3,15,19,7,6,8,4,2,1,74
356,"Optics:  Measuring and Testing",2,0,2,4,2,2,3,3,5,5,3,4,35
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",2,1,4,1,4,2,3,3,4,3,4,3,34
210,"Liquid Purification or Separation",0,0,3,0,2,4,1,2,1,2,5,3,23
310,"Electrical Generator or Motor Structure",1,1,1,2,3,0,4,1,4,6,0,0,23
363,"Electric Power Conversion Systems",1,0,2,0,3,3,3,3,0,2,3,3,23
250,"Radiant Energy",0,1,2,0,1,0,3,5,3,1,3,1,20
362,"Illumination",3,2,5,1,2,1,3,2,0,0,0,1,20
315,"Electric Lamp and Discharge Devices:  Systems",5,1,3,3,3,0,1,0,2,0,0,0,18
381,"Electrical Audio Signal Processing Systems and Devices",2,0,1,1,0,2,3,5,2,0,1,0,17
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",2,1,0,2,0,1,2,0,4,2,2,0,16
333,"Wave Transmission Lines and Networks",0,0,0,1,0,2,3,1,1,2,2,3,15
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",1,0,1,2,0,4,1,0,2,1,1,1,14
323,"Electricity:  Power Supply or Regulation Systems",0,0,0,0,1,0,1,3,0,5,4,0,14
435,"Chemistry: Molecular Biology and Microbiology",0,0,0,0,1,1,1,3,0,1,2,4,13
073,"Measuring and Testing",0,0,0,4,1,1,2,1,2,0,0,1,12
318,"Electricity:  Motive Power Systems",2,0,1,2,0,1,0,1,1,0,2,1,11
428,"Stock Material or Miscellaneous Articles",2,1,1,0,2,1,1,1,1,0,1,0,11
382,"Image Analysis",0,1,0,0,1,0,0,2,1,0,1,4,10
532,"Organic Compounds (includes Classes 532-570)",0,2,1,1,0,0,1,0,1,2,1,1,10
055,"Gas Separation",0,0,0,3,1,2,1,1,0,0,0,0,8
089,"Ordnance",0,0,0,1,2,1,1,0,0,0,1,1,7
096,"Gas Separation:  Apparatus",1,0,0,2,0,0,0,1,0,1,0,2,7
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",2,1,0,0,3,0,0,1,0,0,0,0,7
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",0,0,1,0,0,0,2,0,1,0,1,2,7
216,"Etching a Substrate:  Processes",0,0,0,2,0,0,0,4,0,0,0,0,6
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",1,0,0,1,0,0,0,0,2,1,0,1,6
359,"Optical: Systems and Elements",1,0,0,1,1,1,0,2,0,0,0,0,6
