Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",32,47,36,19,9,19,29,15,18,19,32,24,299
428,"Stock Material or Miscellaneous Articles",25,34,27,30,26,15,9,19,13,11,16,24,249
128,"Surgery (includes Class 600)",21,18,21,19,24,12,14,20,4,10,19,26,208
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",17,29,23,22,11,12,3,6,10,16,26,16,191
324,"Electricity:  Measuring and Testing",18,21,33,15,12,16,10,18,7,9,16,12,187
219,"Electric Heating",13,19,15,15,16,15,20,21,12,9,20,9,183
362,"Illumination",7,14,17,13,10,9,13,7,13,8,12,12,135
073,"Measuring and Testing",13,14,10,14,9,12,10,14,12,11,4,3,126
435,"Chemistry: Molecular Biology and Microbiology",5,19,16,12,5,7,7,5,9,4,10,14,113
015,"Brushing, Scrubbing, and General Cleaning",10,6,13,11,15,10,6,6,3,9,12,7,108
508,"Solid Anti-Friction Devices, Materials Therefor, Lubricant or Separant Compositions for Moving Solid Surfaces, and Miscellaneous Mineral Oil Compositions",17,15,12,10,8,4,2,4,11,5,15,4,107
315,"Electric Lamp and Discharge Devices:  Systems",19,9,13,8,12,8,2,3,6,0,7,17,104
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",6,5,10,11,12,5,5,4,11,5,12,18,104
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",5,2,7,6,7,4,12,11,5,5,18,16,98
532,"Organic Compounds (includes Classes 532-570)",10,14,11,9,7,5,5,8,8,10,8,1,96
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",9,6,7,11,2,6,2,10,5,11,9,15,93
313,"Electric Lamp and Discharge Devices",4,4,11,10,14,6,3,7,7,4,15,7,92
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",3,5,7,12,9,4,6,6,4,10,14,10,89
