Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",59,40,63,94,87,71,117,92,83,91,123,113,1033
438,"Semiconductor Device Manufacturing: Process",53,56,80,52,84,75,70,109,87,99,113,83,961
455,"Telecommunications",63,22,23,27,26,17,21,36,21,21,28,24,329
361,"Electricity:  Electrical Systems and Devices",15,15,22,37,19,30,37,44,28,28,31,21,327
370,"Multiplex Communications",18,16,20,14,19,17,21,20,21,32,36,26,260
439,"Electrical Connectors",12,11,17,25,26,24,27,18,28,25,24,21,258
375,"Pulse or Digital Communications",25,10,8,17,18,15,22,24,33,14,24,24,234
280,"Land Vehicles",44,38,36,23,13,12,12,11,10,8,10,10,227
710,"Input/Output (Electrical Computers and Digital Processing Systems)",21,25,10,15,16,8,35,13,18,23,28,14,226
324,"Electricity:  Measuring and Testing",15,9,15,18,12,16,23,21,17,25,11,21,203
340,"Communications:  Electrical",21,16,14,10,15,17,19,18,12,20,18,22,202
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",12,20,10,14,14,15,18,12,17,19,21,24,196
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",4,2,2,5,1,5,11,16,17,23,43,66,195
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",25,30,18,17,17,12,9,10,13,11,14,13,189
029,"Metal Working",11,8,14,13,9,17,17,22,16,19,18,18,182
382,"Image Analysis",15,16,14,14,21,6,19,14,10,14,15,16,174
060,"Power Plants",10,17,13,16,14,11,17,12,13,16,12,18,169
365,"Static Information Storage and Retrieval",20,20,21,21,16,16,13,8,10,7,9,8,169
713,"Support (Electrical Computers and Digital Processing Systems)",13,12,11,16,10,11,15,22,16,9,15,19,169
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",11,10,18,17,17,20,7,6,15,16,13,17,167
473,"Games Using Tangible Projectile",10,5,8,10,5,17,17,20,17,10,17,24,160
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",5,6,4,5,7,8,11,6,18,15,32,40,157
714,"Error Detection/Correction and Fault Detection/Recovery",10,13,13,9,14,13,15,20,13,13,13,10,156
345,"Computer Graphics Processing and Selective Visual Display Systems",9,15,13,13,17,16,11,11,13,10,11,13,152
244,"Aeronautics and Astronautics",9,11,13,10,15,12,12,13,11,12,14,17,149
174,"Electricity:  Conductors and Insulators",8,8,21,13,13,20,9,9,15,12,7,12,147
451,"Abrading",12,27,21,21,14,17,14,10,6,1,1,1,145
711,"Memory (Electrical Computers and Digital Processing Systems)",7,10,7,8,10,18,13,16,14,13,11,14,141
330,"Amplifiers",12,12,21,12,18,6,11,13,7,11,6,11,140
348,"Television",7,12,19,26,12,9,16,8,8,4,6,10,137
385,"Optical Waveguides",10,8,10,14,16,14,15,12,16,5,11,3,134
073,"Measuring and Testing",14,7,6,11,11,9,8,15,12,9,17,9,128
341,"Coded Data Generation or Conversion",14,7,8,13,5,8,12,13,7,7,12,13,119
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",16,11,7,12,11,4,4,15,10,11,4,12,117
379,"Telephonic Communications",7,7,6,10,15,7,19,3,5,11,12,10,112
128,"Surgery (includes Class 600)",9,9,19,13,11,3,6,8,8,8,9,7,110
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",13,8,8,17,15,8,6,13,2,9,4,4,107
250,"Radiant Energy",19,13,10,11,15,10,8,3,4,3,6,2,104
137,"Fluid Handling",6,17,5,4,5,9,8,13,14,10,4,6,101
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",1,5,6,10,9,7,13,9,7,7,12,12,98
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",4,4,3,6,7,10,10,18,10,8,8,10,98
428,"Stock Material or Miscellaneous Articles",11,11,12,10,3,6,5,6,5,3,6,13,91
219,"Electric Heating",1,10,9,8,15,7,11,8,6,3,4,5,87
118,"Coating Apparatus",12,11,11,5,4,4,9,10,7,2,7,4,86
356,"Optics:  Measuring and Testing",5,6,3,2,7,5,7,9,14,8,6,10,82
707,"DP: Database and File Management or Data Structures (Data Processing)",5,2,11,3,2,4,7,3,8,5,12,19,81
333,"Wave Transmission Lines and Networks",2,7,7,8,13,8,4,5,6,7,12,1,80
052,"Static Structures (e.g., Buildings)",5,6,11,13,8,8,4,3,1,2,8,9,78
313,"Electric Lamp and Discharge Devices",21,6,14,5,9,5,6,4,1,3,1,3,78
315,"Electric Lamp and Discharge Devices:  Systems",8,10,7,11,14,2,6,2,4,3,3,5,75
362,"Illumination",4,2,5,6,6,9,10,7,7,5,9,5,75
