Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
438,"Semiconductor Device Manufacturing: Process",183,158,153,99,90,92,80,112,89,103,131,76,1366
711,"Memory (Electrical Computers and Digital Processing Systems)",100,115,137,107,93,80,120,96,125,119,110,106,1308
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",46,62,42,72,80,81,102,69,117,156,160,171,1158
714,"Error Detection/Correction and Fault Detection/Recovery",58,46,61,84,66,71,79,67,99,95,113,97,936
713,"Support (Electrical Computers and Digital Processing Systems)",29,24,48,49,75,58,91,69,111,119,120,139,932
710,"Input/Output (Electrical Computers and Digital Processing Systems)",86,64,66,82,94,77,74,54,52,74,79,86,888
712,"Processing Architectures and Instruction Processing, e.g., Processors (Electrical Computers and Digital Processing Systems)",93,98,63,48,50,49,53,58,69,47,69,67,764
707,"DP: Database and File Management or Data Structures (Data Processing)",29,38,46,46,60,50,53,49,45,66,102,102,686
370,"Multiplex Communications",25,24,21,23,34,30,52,45,69,108,116,104,651
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",103,68,46,35,40,36,37,47,34,49,56,46,597
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",35,29,40,53,49,63,50,39,42,64,52,59,575
361,"Electricity:  Electrical Systems and Devices",64,82,46,50,47,35,26,37,45,56,48,34,570
717,"DP: Software Development, Installation, and Management (Data Processing)",32,46,35,42,35,33,38,29,34,55,65,74,518
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",16,22,36,57,64,58,66,36,34,35,42,44,510
379,"Telephonic Communications",21,30,26,33,38,46,65,53,37,38,26,52,465
455,"Telecommunications",10,13,12,16,23,21,47,54,55,54,67,91,463
365,"Static Information Storage and Retrieval",38,38,27,25,32,20,32,48,50,44,54,39,447
375,"Pulse or Digital Communications",28,28,23,27,26,30,43,33,32,53,72,40,435
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",11,14,30,31,26,18,43,35,66,30,58,67,429
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",11,16,37,46,33,40,38,57,38,48,27,30,421
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",34,35,33,48,23,30,31,44,34,31,39,24,406
341,"Coded Data Generation or Conversion",30,34,43,41,30,34,23,57,40,19,18,15,384
345,"Computer Graphics Processing and Selective Visual Display Systems",37,39,29,46,29,25,26,26,23,20,20,27,347
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",9,5,7,12,5,14,33,15,35,44,79,72,330
326,"Electronic Digital Logic Circuitry",30,29,16,24,24,33,29,37,28,18,21,14,303
726,"Information Security",8,8,10,9,17,16,26,20,29,46,43,50,282
324,"Electricity:  Measuring and Testing",16,15,27,23,24,27,12,14,35,24,29,18,264
708,"Arithmetic Processing and Calculating (Electrical Computers)",23,35,17,20,9,15,11,12,18,13,20,16,209
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",13,18,6,6,9,23,29,18,17,12,19,31,201
340,"Communications:  Electrical",10,9,11,9,14,14,14,14,18,21,19,27,180
718,"Virtual Machine Task or Process Management or Task Management/Control (Electrical Computers and Digital Processing Systems)",2,6,11,9,18,15,15,11,21,15,29,26,178
330,"Amplifiers",2,8,7,9,14,12,21,20,20,14,21,16,164
382,"Image Analysis",3,9,12,12,24,14,18,13,7,15,13,21,161
719,"Interprogram Communication or Interprocess Communication (Ipc) (Electrical Computers and Digital Processing Systems)",0,11,9,11,17,7,10,13,14,11,13,30,146
385,"Optical Waveguides",7,9,11,25,21,18,18,8,14,6,5,3,145
348,"Television",7,4,7,10,19,6,10,10,21,17,13,20,144
439,"Electrical Connectors",6,6,12,11,9,7,17,9,12,16,23,13,141
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",12,5,17,22,23,15,8,8,6,9,6,6,137
704,"DP: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression (Data Processing)",13,15,13,6,8,8,12,9,13,12,10,15,134
331,"Oscillators",12,12,8,6,11,5,8,24,16,9,12,6,129
356,"Optics:  Measuring and Testing",6,4,4,15,21,11,7,9,6,15,6,12,116
323,"Electricity:  Power Supply or Regulation Systems",5,9,6,4,3,6,6,7,13,16,12,20,107
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",3,4,5,6,12,5,9,10,15,12,11,14,106
