Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",124,133,111,152,99,91,116,92,95,109,128,126,1376
435,"Chemistry: Molecular Biology and Microbiology",111,114,165,123,125,114,115,71,63,68,94,76,1239
370,"Multiplex Communications",32,30,38,38,41,48,58,50,56,65,96,124,677
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",34,20,19,22,13,19,54,30,54,69,150,139,623
455,"Telecommunications",29,38,24,27,23,36,54,53,49,56,80,112,581
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",22,19,24,19,20,16,38,54,54,54,91,87,499
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",19,15,23,33,18,26,49,58,54,31,27,26,379
707,"DP: Database and File Management or Data Structures (Data Processing)",6,9,17,19,32,19,30,33,34,34,56,55,345
340,"Communications:  Electrical",19,21,13,12,16,28,43,24,34,42,25,29,307
532,"Organic Compounds (includes Classes 532-570)",11,16,23,20,39,17,24,23,26,26,30,36,292
382,"Image Analysis",8,13,9,20,14,11,22,23,40,37,52,30,280
379,"Telephonic Communications",23,27,24,22,35,24,30,23,13,15,16,20,273
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",22,18,26,18,20,13,21,22,20,21,26,35,262
375,"Pulse or Digital Communications",16,16,20,18,23,25,20,28,32,25,16,21,261
713,"Support (Electrical Computers and Digital Processing Systems)",4,7,6,9,10,18,42,18,20,25,24,28,211
250,"Radiant Energy",17,14,15,16,15,14,19,12,21,19,20,17,200
128,"Surgery (includes Class 600)",22,20,17,24,12,18,15,9,10,11,16,15,190
356,"Optics:  Measuring and Testing",20,6,9,14,9,17,6,16,16,12,16,27,168
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",9,9,7,13,18,13,20,7,17,11,18,22,164
726,"Information Security",4,3,5,1,4,6,12,16,14,24,33,39,161
385,"Optical Waveguides",11,17,14,16,17,17,13,19,11,6,11,6,159
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",11,9,4,8,8,8,15,13,15,16,28,18,154
438,"Semiconductor Device Manufacturing: Process",13,8,10,18,13,9,6,10,10,9,22,19,147
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",9,12,17,12,21,5,9,8,13,11,14,14,145
436,"Chemistry: Analytical and Immunological Testing",7,10,17,9,17,5,9,5,11,8,23,13,135
