Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",60,81,96,43,37,24,34,47,22,48,53,64,609
435,"Chemistry: Molecular Biology and Microbiology",62,63,51,45,43,39,34,37,38,38,60,52,562
128,"Surgery (includes Class 600)",24,30,30,26,14,18,11,20,9,12,20,17,230
398,"Optical Communications",9,15,12,15,6,14,17,14,14,19,15,14,163
455,"Telecommunications",5,7,6,5,13,5,9,6,21,10,14,26,127
340,"Communications:  Electrical",4,10,5,2,8,7,16,16,18,18,9,11,123
385,"Optical Waveguides",9,7,14,13,16,12,15,6,8,8,7,5,119
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",2,6,1,5,4,3,10,8,15,13,29,23,119
359,"Optical: Systems and Elements",6,7,16,20,7,15,11,8,8,2,1,5,106
250,"Radiant Energy",8,3,12,5,14,13,13,7,7,9,7,7,104
532,"Organic Compounds (includes Classes 532-570)",5,10,12,11,8,5,8,5,9,11,7,8,98
083,"Cutting",12,9,12,9,11,5,7,6,4,5,4,3,87
375,"Pulse or Digital Communications",4,4,4,9,6,7,7,7,8,12,9,7,83
073,"Measuring and Testing",1,3,3,6,14,9,10,5,11,12,7,3,83
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",6,10,9,5,6,5,2,7,11,5,7,6,79
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",10,7,4,10,10,4,3,3,9,6,6,5,77
370,"Multiplex Communications",5,5,3,3,7,5,9,6,6,6,9,11,74
438,"Semiconductor Device Manufacturing: Process",5,5,5,8,5,4,3,8,6,6,11,6,72
428,"Stock Material or Miscellaneous Articles",11,10,13,8,6,3,7,1,4,1,2,2,67
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",2,2,4,2,3,3,9,2,6,11,8,15,66
356,"Optics:  Measuring and Testing",4,3,2,6,4,3,5,6,9,10,7,6,65
333,"Wave Transmission Lines and Networks",1,0,2,9,13,4,7,5,4,6,9,4,64
343,"Communications:  Radio Wave Antennas",1,2,8,9,8,15,7,3,2,1,4,5,63
604,"Surgery (Medicators and Receptors)",4,8,4,10,9,3,1,3,2,5,5,9,63
382,"Image Analysis",3,3,3,3,11,2,8,2,10,4,11,4,63
607,"Surgery: Light, Thermal, and Electrical Application",9,5,10,3,2,6,4,6,7,3,4,4,63
310,"Electrical Generator or Motor Structure",4,3,2,6,9,9,11,6,1,2,5,4,62
606,"Surgery (instruments)",15,8,7,5,0,3,1,1,4,2,6,9,61
502,"Catalyst, Solid Sorbent, or Support Therefor:  Product or Process of Making",9,9,6,5,2,3,2,3,4,4,5,8,60
436,"Chemistry: Analytical and Immunological Testing",1,10,6,5,3,4,3,3,3,9,7,7,60
320,"Electricity:  Battery or Capacitor Charging or Discharging",5,5,4,4,3,4,3,1,6,7,8,7,57
324,"Electricity:  Measuring and Testing",5,8,9,4,8,1,6,3,1,2,7,4,57
030,"Cutlery",5,10,5,5,7,2,6,3,2,2,3,5,55
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",7,3,6,3,4,0,3,5,6,4,8,6,54
473,"Games Using Tangible Projectile",2,1,2,8,1,9,6,3,5,5,9,2,53
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",2,1,6,5,6,7,4,6,4,5,2,5,53
