Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
379,"Telephonic Communications",17,26,23,36,75,60,77,74,68,65,53,86,660
455,"Telecommunications",27,23,15,23,41,30,74,63,65,73,89,121,644
370,"Multiplex Communications",9,19,12,19,22,25,49,49,63,73,122,116,578
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",8,6,11,8,19,27,56,44,75,52,89,103,498
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",15,16,17,11,5,19,26,35,54,54,113,99,464
340,"Communications:  Electrical",23,28,27,19,51,29,44,22,39,48,41,40,411
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",26,28,36,35,26,29,44,35,28,35,35,37,394
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",27,14,29,36,23,15,27,27,29,35,18,24,304
385,"Optical Waveguides",16,59,40,37,33,33,21,13,8,12,15,8,295
428,"Stock Material or Miscellaneous Articles",25,37,37,34,32,24,20,16,12,11,18,14,280
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",31,23,20,22,16,18,16,15,14,7,32,27,241
128,"Surgery (includes Class 600)",26,27,31,20,19,19,18,14,11,12,15,22,234
435,"Chemistry: Molecular Biology and Microbiology",11,14,17,13,15,17,20,20,16,15,29,22,209
707,"DP: Database and File Management or Data Structures (Data Processing)",6,5,8,9,10,8,16,15,16,35,38,43,209
604,"Surgery (Medicators and Receptors)",21,17,24,29,28,13,8,8,5,7,21,27,208
206,"Special Receptacle or Package",20,14,6,8,6,15,17,12,16,21,17,20,172
725,"Interactive Video Distribution Systems",5,5,8,8,13,4,18,14,14,16,27,37,169
052,"Static Structures (e.g., Buildings)",18,16,23,14,14,8,5,8,4,7,21,9,147
532,"Organic Compounds (includes Classes 532-570)",16,17,17,13,8,8,7,12,9,5,11,14,137
442,"Fabric (Woven, Knitted, or Nonwoven Textile or Cloth, Etc.)",20,5,8,17,18,15,3,6,7,6,14,13,132
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",16,12,9,19,14,10,9,8,13,7,7,6,130
362,"Illumination",11,12,8,10,5,8,4,8,6,15,16,27,130
062,"Refrigeration",10,16,18,12,12,7,13,8,5,5,12,10,128
361,"Electricity:  Electrical Systems and Devices",11,8,15,16,12,6,9,7,8,12,11,13,128
222,"Dispensing (apparatus and process)",14,22,10,18,7,3,12,7,5,7,11,5,121
210,"Liquid Purification or Separation",9,20,14,6,8,10,11,12,13,2,5,10,120
726,"Information Security",0,5,2,0,1,3,11,15,18,16,23,23,117
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",2,3,5,11,8,11,17,15,11,9,10,11,113
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",17,9,13,13,15,8,6,3,7,6,10,5,112
439,"Electrical Connectors",9,7,9,4,11,8,8,10,12,11,10,12,111
713,"Support (Electrical Computers and Digital Processing Systems)",4,1,0,9,2,6,16,13,12,15,13,20,111
606,"Surgery (instruments)",20,10,5,10,9,4,5,4,7,6,8,15,103
375,"Pulse or Digital Communications",2,8,4,5,3,7,12,8,10,13,13,15,100
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",2,11,6,8,9,5,14,8,8,4,14,11,100
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",3,3,2,3,0,4,12,5,14,18,18,16,98
714,"Error Detection/Correction and Fault Detection/Recovery",2,3,3,1,2,12,18,15,9,9,14,9,97
280,"Land Vehicles",7,5,7,10,8,10,10,8,11,13,3,4,96
229,"Envelopes, Wrappers, and Paperboard Boxes",8,6,6,5,3,8,3,7,7,6,20,13,92
427,"Coating Processes",4,14,5,11,12,16,6,5,2,4,8,5,92
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",3,5,3,4,7,6,10,13,9,11,6,11,88
005,"Beds",7,4,6,5,5,7,10,9,11,5,11,7,87
073,"Measuring and Testing",6,7,3,9,8,10,7,2,8,5,18,4,87
162,"Paper Making and Fiber Liberation",8,11,11,8,8,3,3,6,6,4,6,10,84
345,"Computer Graphics Processing and Selective Visual Display Systems",4,6,9,4,11,4,7,9,4,5,13,6,82
356,"Optics:  Measuring and Testing",8,6,6,7,6,6,9,6,8,5,11,3,81
211,"Supports:  Racks",8,14,10,15,14,3,5,2,1,5,2,1,80
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",18,14,15,6,10,3,0,5,1,1,2,4,79
002,"Apparel",7,9,4,7,11,5,6,8,4,3,9,5,78
348,"Television",7,10,4,5,1,5,8,4,5,7,10,12,78
710,"Input/Output (Electrical Computers and Digital Processing Systems)",2,3,1,1,7,9,7,4,7,11,12,14,78
174,"Electricity:  Conductors and Insulators",7,6,3,6,4,9,5,5,9,5,9,9,77
382,"Image Analysis",6,8,4,4,6,3,2,5,6,9,9,14,76
320,"Electricity:  Battery or Capacitor Charging or Discharging",11,9,13,8,9,10,3,0,1,3,3,3,73
029,"Metal Working",3,4,9,4,10,7,5,5,1,6,10,7,71
343,"Communications:  Radio Wave Antennas",14,3,7,3,7,7,2,7,4,5,6,6,71
398,"Optical Communications",1,5,8,3,3,3,9,6,7,12,4,10,71
324,"Electricity:  Measuring and Testing",4,5,4,6,5,3,6,4,7,11,8,7,70
221,"Article Dispensing",2,13,6,13,6,5,9,2,4,3,5,1,69
248,"Supports (e.g., for holding articles, etc.)",4,7,8,5,5,3,6,5,3,7,9,6,68
220,"Receptacles",7,1,5,2,4,6,6,6,5,6,8,7,63
711,"Memory (Electrical Computers and Digital Processing Systems)",2,3,0,5,1,4,6,6,7,9,10,9,62
053,"Package Making",5,6,3,2,5,4,7,2,5,6,7,9,61
