Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",127,156,148,181,112,129,157,159,163,179,269,276,2056
435,"Chemistry: Molecular Biology and Microbiology",181,192,189,152,131,97,120,142,133,112,180,169,1798
455,"Telecommunications",46,84,90,88,145,124,218,155,155,152,216,276,1749
370,"Multiplex Communications",34,59,65,67,87,89,139,105,130,145,221,304,1445
375,"Pulse or Digital Communications",37,42,55,72,81,70,134,97,78,91,140,166,1063
532,"Organic Compounds (includes Classes 532-570)",83,83,86,68,59,67,65,69,73,56,116,101,926
473,"Games Using Tangible Projectile",32,43,72,84,51,49,79,70,61,70,95,114,820
347,"Incremental Printing of Symbolic Information",43,82,73,94,50,42,25,36,20,25,29,26,545
128,"Surgery (includes Class 600)",38,37,44,39,50,30,33,33,32,36,47,85,504
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",14,16,13,14,28,24,24,25,34,43,67,70,372
604,"Surgery (Medicators and Receptors)",25,31,28,43,27,26,16,19,17,18,32,47,329
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",28,29,24,24,18,15,34,22,34,27,31,42,328
714,"Error Detection/Correction and Fault Detection/Recovery",5,6,9,23,29,27,31,29,27,25,37,39,287
382,"Image Analysis",8,11,17,12,21,18,27,14,36,33,41,47,285
606,"Surgery (instruments)",25,19,21,27,19,20,15,28,12,11,33,35,265
250,"Radiant Energy",23,18,13,20,16,7,18,30,39,19,25,28,256
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",8,9,9,6,1,10,5,24,17,22,78,63,252
340,"Communications:  Electrical",12,20,13,10,16,25,26,21,23,30,29,21,246
343,"Communications:  Radio Wave Antennas",21,22,18,16,24,26,18,17,14,17,27,24,244
707,"DP: Database and File Management or Data Structures (Data Processing)",4,4,13,15,17,12,19,26,18,28,35,42,233
372,"Coherent Light Generators",30,24,16,23,19,10,24,14,12,13,25,13,223
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",3,8,11,9,18,15,19,21,14,19,43,29,209
713,"Support (Electrical Computers and Digital Processing Systems)",7,7,2,5,9,6,23,24,25,23,38,27,196
361,"Electricity:  Electrical Systems and Devices",7,14,17,21,19,17,9,20,18,16,15,22,195
348,"Television",18,9,10,10,17,18,15,16,14,10,17,35,189
345,"Computer Graphics Processing and Selective Visual Display Systems",11,18,9,11,17,15,24,11,11,9,17,30,183
607,"Surgery: Light, Thermal, and Electrical Application",15,15,19,23,20,9,15,15,5,7,12,20,175
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",11,19,11,26,17,13,8,9,22,9,16,13,174
330,"Amplifiers",10,14,9,12,19,14,26,12,8,10,17,21,172
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",9,6,11,25,21,15,19,7,5,7,21,25,171
356,"Optics:  Measuring and Testing",9,11,9,14,19,11,17,16,15,17,23,8,169
341,"Coded Data Generation or Conversion",7,13,15,11,16,9,17,18,14,15,18,11,164
324,"Electricity:  Measuring and Testing",8,8,9,18,8,12,18,10,14,19,20,19,163
436,"Chemistry: Analytical and Immunological Testing",8,14,13,16,12,11,9,12,10,14,21,19,159
380,"Cryptography",4,1,3,0,4,8,16,27,19,21,32,22,157
428,"Stock Material or Miscellaneous Articles",11,10,20,13,13,19,5,3,2,7,17,37,157
210,"Liquid Purification or Separation",13,23,13,11,16,13,10,15,14,7,8,12,155
359,"Optical: Systems and Elements",15,13,16,7,11,9,8,9,10,4,24,26,152
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",11,8,14,8,16,18,13,15,8,6,19,16,152
385,"Optical Waveguides",0,3,17,20,13,5,31,23,11,9,9,10,151
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",4,7,12,17,20,11,13,10,11,11,14,20,150
704,"DP: Speech Signal Processing, Linguistics, Language Translation, and Audio Compression/Decompression (Data Processing)",5,19,17,6,18,9,11,8,10,8,11,25,147
482,"Exercise Devices",8,6,11,12,6,8,7,7,13,14,25,26,143
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",11,16,15,2,14,8,9,8,10,12,14,17,136
331,"Oscillators",9,9,7,16,14,14,11,7,3,9,12,19,130
438,"Semiconductor Device Manufacturing: Process",5,13,10,18,12,12,9,7,7,6,12,17,128
029,"Metal Working",12,12,11,10,13,12,10,6,6,5,13,14,124
362,"Illumination",4,2,12,9,15,12,11,12,8,7,12,20,124
351,"Optics:  Eye Examining, Vision Testing and Correcting",12,7,4,2,9,8,11,10,11,11,15,20,120
073,"Measuring and Testing",10,5,5,14,10,8,12,13,7,7,8,17,116
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",6,6,8,4,3,6,13,10,7,8,16,29,116
379,"Telephonic Communications",9,12,12,14,10,5,12,9,7,9,5,11,115
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",6,2,8,4,8,7,11,9,8,11,22,19,115
506,"Combinatorial Chemistry Technology:  Method, Library, Apparatus",20,19,20,19,11,9,3,1,4,2,2,4,114
725,"Interactive Video Distribution Systems",5,0,7,10,4,3,10,6,6,10,22,31,114
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",6,3,5,7,11,7,7,13,14,10,14,16,113
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",8,14,10,8,10,4,6,3,7,13,12,17,112
280,"Land Vehicles",4,11,16,7,3,9,6,8,8,12,7,18,109
358,"Facsimile and Static Presentation Processing",14,7,6,10,8,6,13,12,14,5,6,6,107
710,"Input/Output (Electrical Computers and Digital Processing Systems)",9,6,8,7,11,11,11,6,7,5,12,14,107
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",9,18,8,10,8,7,10,12,3,6,10,6,107
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",6,4,6,12,7,12,7,4,5,9,11,17,100
060,"Power Plants",15,7,4,7,5,5,14,8,5,8,8,13,99
381,"Electrical Audio Signal Processing Systems and Devices",8,8,4,10,4,8,11,11,8,8,8,10,98
439,"Electrical Connectors",9,10,10,9,15,11,5,5,6,8,5,5,98
726,"Information Security",1,2,2,3,2,4,6,14,10,11,14,27,96
052,"Static Structures (e.g., Buildings)",10,12,8,7,5,3,10,5,4,6,6,13,89
711,"Memory (Electrical Computers and Digital Processing Systems)",4,5,4,8,9,8,8,6,4,6,10,15,87
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",10,10,5,11,7,14,3,7,3,4,6,5,85
706,"DP: Artificial Intelligence (Data Processing)",1,1,2,3,8,2,5,3,5,14,16,22,82
204,"Chemistry:  Electrical and Wave Energy",10,8,7,3,4,7,8,8,7,4,10,3,79
333,"Wave Transmission Lines and Networks",2,3,2,13,11,11,7,3,3,6,10,8,79
002,"Apparel",13,7,8,7,5,8,8,4,3,4,7,4,78
365,"Static Information Storage and Retrieval",2,2,6,0,3,6,5,9,2,5,14,19,73
248,"Supports (e.g., for holding articles, etc.)",6,6,8,8,10,1,5,1,4,8,10,5,72
398,"Optical Communications",5,4,8,4,3,2,5,9,5,8,10,8,71
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",4,11,9,7,9,7,3,3,3,1,3,10,70
360,"Dynamic Magnetic Information Storage or Retrieval",15,12,9,3,1,3,6,3,2,5,9,1,69
137,"Fluid Handling",11,16,6,2,8,7,4,3,2,3,1,4,67
239,"Fluid Sprinkling, Spraying, and Diffusing",7,6,5,4,3,8,6,9,2,3,10,4,67
427,"Coating Processes",8,7,6,9,3,3,2,3,5,3,9,6,64
310,"Electrical Generator or Motor Structure",6,5,5,6,10,10,3,3,3,3,4,4,62
433,"Dentistry",12,10,9,3,2,4,10,3,2,1,1,5,62
084,"Music",12,6,1,2,3,1,1,10,2,3,14,6,61
174,"Electricity:  Conductors and Insulators",2,8,6,5,8,8,8,5,3,3,3,1,60
602,"Surgery: Splint, Brace, or Bandage",4,5,2,3,6,3,6,10,1,6,8,5,59
106,"Compositions:  Coating or Plastic",5,3,4,10,10,1,4,7,2,6,2,2,56
123,"Internal-Combustion Engines",2,7,7,3,2,4,2,6,9,6,2,6,56
320,"Electricity:  Battery or Capacitor Charging or Discharging",8,7,5,4,3,5,3,2,4,6,5,4,56
717,"DP: Software Development, Installation, and Management (Data Processing)",1,6,1,0,1,3,10,5,7,4,10,8,56
004,"Baths, Closets, Sinks, and Spittoons",5,8,10,2,6,9,2,3,2,3,4,1,55
219,"Electric Heating",3,5,9,6,4,3,8,6,4,2,3,2,55
244,"Aeronautics and Astronautics",4,6,6,8,4,6,0,3,3,4,5,5,54
708,"Arithmetic Processing and Calculating (Electrical Computers)",4,2,0,4,8,3,6,6,2,3,12,3,53
114,"Ships",6,5,6,2,4,6,3,2,4,5,3,6,52
206,"Special Receptacle or Package",11,4,3,6,3,2,5,2,4,2,5,3,50
326,"Electronic Digital Logic Circuitry",0,4,3,2,7,3,5,5,1,3,7,9,49
033,"Geometrical Instruments",2,2,4,4,4,1,2,2,4,9,11,3,48
119,"Animal Husbandry",2,8,4,2,3,3,2,5,5,3,6,5,48
476,"Friction Gear Transmission Systems or Components",0,2,0,0,2,2,13,14,8,1,4,2,48
378,"X-Ray or Gamma Ray Systems or Devices",3,4,6,6,1,1,5,4,5,5,3,4,47
417,"Pumps",8,7,8,5,5,1,4,2,3,2,0,2,47
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",0,2,1,3,3,3,5,2,6,5,9,8,47
426,"Food or Edible Material:  Processes, Compositions, and Products",7,4,4,3,1,3,0,2,3,3,10,6,46
367,"Communications, Electrical: Acoustic Wave Systems and Devices",3,4,4,3,7,2,2,5,4,5,4,2,45
441,"Buoys, Rafts, and Aquatic Devices",3,1,3,0,6,5,7,8,5,1,4,2,45
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",4,5,4,5,5,2,7,4,3,3,2,0,44
297,"Chairs and Seats",1,3,2,5,9,3,7,3,5,3,2,0,43
475,"Planetary Gear Transmission Systems or Components",0,0,1,1,0,0,0,20,9,4,7,1,43
252,"Compositions",3,11,5,4,6,1,1,3,1,1,1,5,42
315,"Electric Lamp and Discharge Devices:  Systems",7,4,6,5,4,6,4,1,0,1,0,4,42
386,"Motion Video Signal Processing for Recording or Reproducing",3,3,2,1,2,4,3,1,7,2,5,8,41
062,"Refrigeration",2,6,8,4,2,1,3,2,1,7,3,1,40
400,"Typewriting Machines",5,10,11,6,2,3,1,0,0,0,1,1,40
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",1,2,1,0,1,2,7,3,5,3,8,7,40
220,"Receptacles",5,9,2,0,2,1,4,5,0,0,4,7,39
222,"Dispensing (apparatus and process)",4,6,1,3,4,6,4,2,3,2,1,3,39
273,"Amusement Devices:  Games",3,5,8,4,2,0,4,2,6,3,2,0,39
712,"Processing Architectures and Instruction Processing, e.g., Processors (Electrical Computers and Digital Processing Systems)",3,0,3,3,5,2,3,2,1,8,6,3,39
015,"Brushing, Scrubbing, and General Cleaning",5,3,5,4,4,1,1,0,4,0,9,2,38
271,"Sheet Feeding or Delivering",5,3,3,6,1,2,2,1,2,2,5,6,38
307,"Electrical Transmission or Interconnection Systems",3,3,2,2,4,0,2,2,4,5,6,5,38
313,"Electric Lamp and Discharge Devices",4,0,7,4,4,5,7,1,2,0,2,0,36
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",3,1,1,1,7,2,2,3,1,2,6,7,36
296,"Land Vehicles:  Bodies and Tops",3,3,4,1,4,1,2,5,3,3,3,2,34
318,"Electricity:  Motive Power Systems",3,2,1,5,4,4,2,3,1,6,0,2,33
141,"Fluent Material Handling, with Receiver or Receiver Coacting Means",2,1,5,5,5,4,2,3,0,2,2,1,32
205,"Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions",3,0,2,6,6,1,6,4,0,0,3,1,32
323,"Electricity:  Power Supply or Regulation Systems",3,3,0,1,3,2,3,4,0,2,5,6,32
434,"Education and Demonstration",3,3,4,6,7,2,1,1,1,1,1,2,32
446,"Amusement Devices:  Toys",5,4,3,5,1,4,0,3,1,3,0,3,32
036,"Boots, Shoes, and Leggings",1,2,1,3,6,4,1,2,2,3,4,2,31
224,"Package and Article Carriers",2,3,3,7,7,3,0,3,1,1,0,1,31
405,"Hydraulic and Earth Engineering",1,3,1,5,5,5,2,1,1,1,4,2,31
005,"Beds",2,0,2,2,2,1,2,1,2,4,4,8,30
181,"Acoustics",2,1,3,0,2,1,2,3,3,2,1,10,30
134,"Cleaning and Liquid Contact with Solids",2,4,2,1,1,10,1,2,1,0,3,2,29
030,"Cutlery",4,3,4,2,2,2,3,1,3,0,2,2,28
180,"Motor Vehicles",1,2,0,6,1,1,1,3,1,3,4,5,28
040,"Card, Picture, or Sign Exhibiting",1,4,1,5,0,2,3,4,3,0,4,0,27
081,"Tools",2,6,4,2,1,3,2,2,2,1,2,0,27
336,"Inductor Devices",2,1,2,3,0,0,6,2,1,4,2,3,26
024,"Buckles, Buttons, Clasps, Etc.",1,3,7,1,0,4,3,0,2,2,0,2,25
353,"Optics:  Image Projectors",1,1,0,0,5,5,3,3,4,1,1,1,25
451,"Abrading",1,1,3,3,3,5,1,2,0,2,3,1,25
124,"Mechanical Guns and Projectors",0,2,0,0,4,1,3,2,4,2,4,2,24
165,"Heat Exchange",3,0,2,1,4,5,4,3,0,0,2,0,24
251,"Valves and Valve Actuation",3,1,0,3,1,4,3,2,0,2,3,2,24
312,"Supports:  Cabinet Structure",5,4,0,3,2,1,2,0,1,2,2,2,24
463,"Amusement Devices: Games",1,2,2,1,4,1,3,0,1,3,4,2,24
095,"Gas Separation:  Processes",1,1,3,6,0,2,2,1,1,3,2,1,23
136,"Batteries:  Thermoelectric and Photoelectric",5,4,1,2,3,0,0,0,1,2,1,4,23
285,"Pipe Joints or Couplings",0,3,3,1,3,3,0,2,1,3,3,1,23
211,"Supports:  Racks",1,3,2,1,3,0,6,1,2,0,0,3,22
108,"Horizontally Supported Planar Surfaces",1,0,3,3,3,1,1,2,1,2,1,3,21
228,"Metal Fusion Bonding",4,2,0,4,2,0,0,1,0,2,5,1,21
363,"Electric Power Conversion Systems",2,1,0,2,6,1,1,2,1,0,2,2,20
415,"Rotary Kinetic Fluid Motors or Pumps",3,0,0,2,1,3,5,1,0,2,2,1,20
043,"Fishing, Trapping, and Vermin Destroying",0,1,0,1,2,4,1,1,2,1,1,5,19
187,"Elevator, Industrial Lift Truck, or Stationary Lift for Vehicle",0,0,1,2,0,3,3,2,3,2,1,2,19
290,"Prime-Mover Dynamo Plants",0,0,0,0,2,2,1,1,2,1,5,5,19
355,"Photocopying",2,1,2,1,1,3,4,2,0,1,1,1,19
374,"Thermal Measuring and Testing",4,4,4,1,1,2,0,0,2,0,0,1,19
399,"Electrophotography",2,0,3,0,1,1,0,6,3,0,2,1,19
718,"Virtual Machine Task or Process Management or Task Management/Control (Electrical Computers and Digital Processing Systems)",1,0,1,0,1,2,2,2,3,1,3,3,19
719,"Interprogram Communication or Interprocess Communication (Ipc) (Electrical Computers and Digital Processing Systems)",0,1,1,1,1,2,4,1,2,3,3,0,19
209,"Classifying, Separating, and Assorting Solids",2,7,2,1,0,0,1,0,1,2,1,1,18
396,"Photography",0,0,3,2,0,2,1,0,1,4,4,1,18
423,"Chemistry of Inorganic Compounds",1,1,4,1,1,0,2,1,1,2,2,2,18
118,"Coating Apparatus",1,2,3,4,2,1,2,0,0,0,1,1,17
366,"Agitating (e.g., of articles and materials)",3,1,4,1,1,3,0,1,1,1,1,0,17
414,"Material or Article Handling",1,1,3,2,2,4,0,0,1,2,1,0,17
425,"Plastic Article or Earthenware Shaping or Treating: Apparatus",1,2,1,1,4,1,0,3,3,1,0,0,17
221,"Article Dispensing",2,1,3,0,1,2,2,2,1,0,1,1,16
269,"Work Holders",5,1,2,0,1,0,1,1,1,0,2,2,16
294,"Handling:  Hand and Hoist-Line Implements",3,0,5,1,1,1,0,2,2,0,0,1,16
053,"Package Making",2,1,0,0,1,0,2,2,2,1,2,2,15
070,"Locks",2,0,2,1,1,2,1,3,0,1,0,2,15
072,"Metal Deforming",1,2,0,5,0,2,2,0,3,0,0,0,15
074,"Machine Element or Mechanism",2,2,3,1,1,0,2,1,1,2,0,0,15
099,"Foods and Beverages: Apparatus",1,3,2,2,1,1,0,1,1,0,2,1,15
148,"Metal Treatment",2,1,2,1,2,0,0,4,0,2,0,1,15
188,"Brakes",1,2,3,0,0,0,0,3,1,3,2,0,15
369,"Dynamic Information Storage or Retrieval",2,1,2,3,1,0,2,2,0,0,0,2,15
200,"Electricity:  Circuit Makers and Breakers",3,0,2,0,1,2,4,0,0,0,2,0,14
416,"Fluid Reaction Surfaces (i.e., Impellers)",1,0,1,1,2,0,3,2,3,0,1,0,14
042,"Firearms",2,0,2,4,1,0,0,0,1,0,0,3,13
301,"Land Vehicles:  Wheels and Axles",2,2,2,1,1,1,1,1,0,1,1,0,13
377,"Electrical Pulse Counters, Pulse Dividers, or Shift Registers:  Circuits and Systems",2,1,4,1,0,2,0,0,0,0,1,2,13
404,"Road Structure, Process, or Apparatus",1,0,0,3,1,0,3,3,1,1,0,0,13
472,"Amusement Devices",1,1,1,2,4,0,1,0,0,1,1,1,13
047,"Plant Husbandry",2,0,2,2,0,0,0,0,1,3,2,0,12
132,"Toilet",2,1,1,3,1,0,0,1,1,0,0,2,12
198,"Conveyors:  Power-Driven",3,1,1,0,3,2,1,0,0,0,0,1,12
242,"Winding, Tensioning, or Guiding",5,0,2,1,0,1,0,0,2,0,0,1,12
277,"Seal for a Joint or Juncture",1,1,4,3,1,0,1,0,1,0,0,0,12
332,"Modulators",2,0,0,0,1,0,1,1,0,1,4,2,12
445,"Electric Lamp or Space Discharge Component or Device Manufacturing",2,1,1,5,1,0,1,0,1,0,0,0,12
016,"Miscellaneous Hardware",0,1,2,0,1,1,2,0,0,1,2,1,11
089,"Ordnance",2,1,1,0,0,1,0,1,0,1,2,2,11
101,"Printing",2,1,0,2,1,2,1,0,0,0,2,0,11
102,"Ammunition and Explosives",2,0,1,2,1,0,0,1,0,2,1,1,11
126,"Stoves and Furnaces",4,1,0,1,1,2,1,0,0,0,0,1,11
335,"Electricity:  Magnetically Operated Switches, Magnets, and Electromagnets",2,1,0,0,1,3,1,1,0,2,0,0,11
138,"Pipes and Tubular Conduits",0,1,3,1,0,0,0,1,1,0,2,1,10
349,"Liquid Crystal Cells, Elements and Systems",1,1,0,1,0,3,0,3,1,0,0,0,10
401,"Coating Implements with Material Supply",2,1,1,0,1,1,1,0,0,2,1,0,10
431,"Combustion",3,2,2,0,0,0,2,1,0,0,0,0,10
601,"Surgery: Kinesitherapy",2,0,2,1,0,0,1,1,2,0,1,0,10
055,"Gas Separation",2,0,2,1,1,0,0,0,2,0,1,0,9
063,"Jewelry",2,2,0,0,2,0,1,1,0,0,1,0,9
160,"Flexible or Portable Closure, Partition, or Panel",3,2,0,1,0,1,0,0,0,1,0,1,9
292,"Closure Fasteners",0,0,1,1,1,1,2,0,0,0,2,1,9
383,"Flexible Bags",2,1,1,1,1,2,0,0,0,0,0,1,9
392,"Electric Resistance Heating Devices",3,1,0,1,0,0,2,1,0,0,1,0,9
440,"Marine Propulsion",1,1,1,2,0,0,1,1,0,1,1,0,9
007,"Compound Hand Tools",0,2,3,0,2,0,1,0,0,0,0,0,8
104,"Railways",1,0,1,0,2,0,0,1,1,1,0,1,8
110,"Furnaces",0,0,1,1,0,0,4,1,0,0,0,1,8
166,"Wells (shafts or deep borings in the earth, e.g., for oil and gas)",2,0,1,0,1,1,0,1,0,0,0,2,8
216,"Etching a Substrate:  Processes",2,1,1,0,0,1,0,1,1,0,1,0,8
261,"Gas and Liquid Contact Apparatus",2,0,0,0,0,0,0,0,1,3,1,1,8
083,"Cutting",0,1,0,1,2,0,0,0,1,0,2,0,7
116,"Signals and Indicators",1,0,0,0,1,0,1,2,1,0,1,0,7
117,"Single-Crystal, Oriented-Crystal, and Epitaxy Growth Processes; Non-Coating Apparatus Therefor",0,1,0,2,0,0,1,0,3,0,0,0,7
225,"Severing by Tearing or Breaking",0,0,0,0,1,2,2,1,0,0,0,1,7
368,"Horology: Time Measuring Systems or Devices",2,0,1,0,0,0,0,0,1,0,1,2,7
442,"Fabric (Woven, Knitted, or Nonwoven Textile or Cloth, Etc.)",2,1,2,0,1,0,1,0,0,0,0,0,7
510,"Cleaning Compositions for Solid Surfaces, Auxiliary Compositions Therefor, or Processes of Preparing the Compositions",2,1,0,1,1,0,0,0,0,1,0,1,7
075,"Specialized Metallurgical Processes, Compositions for Use Therein, Consolidated Metal Powder Compositions, and Loose Metal Particulate Mixtures",2,1,0,0,0,0,0,0,0,0,2,1,6
150,"Purses, Wallets, and Protective Covers",1,0,0,3,0,0,0,0,0,1,1,0,6
192,"Clutches and Power-Stop Control",1,0,0,1,0,1,0,1,0,1,1,0,6
254,"Implements or Apparatus for Applying Pushing or Pulling Force",0,0,0,1,0,0,3,0,0,0,1,1,6
408,"Cutting by Use of Rotating Axially Moving Tool",1,0,2,1,0,0,0,2,0,0,0,0,6
410,"Freight Accommodation On Freight Carrier",0,0,1,0,2,1,0,1,0,0,1,0,6
411,"Expanded, Threaded, Driven, Headed, Tool-Deformed, or Locked-Threaded Fastener",0,0,0,0,0,0,0,2,0,1,1,2,6
502,"Catalyst, Solid Sorbent, or Support Therefor:  Product or Process of Making",0,0,1,1,1,0,0,2,1,0,0,0,6
034,"Drying and Gas or Vapor Contact with Solids",0,1,1,0,0,0,1,0,1,1,0,0,5
056,"Harvesters",0,0,0,0,1,1,1,0,1,1,0,0,5
096,"Gas Separation:  Apparatus",0,2,2,0,0,1,0,0,0,0,0,0,5
112,"Sewing",0,0,0,0,1,1,0,1,1,0,1,0,5
169,"Fire Extinguishers",0,1,1,0,1,0,0,1,0,0,1,0,5
182,"Fire Escape, Ladder, or Scaffold",1,0,0,1,1,1,1,0,0,0,0,0,5
