Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
280,"Land Vehicles",18,10,11,14,13,15,10,7,4,5,5,4,114
188,"Brakes",4,16,29,25,7,9,6,5,2,4,3,1,110
428,"Stock Material or Miscellaneous Articles",9,4,8,6,9,1,7,2,4,2,5,6,63
347,"Incremental Printing of Symbolic Information",1,5,4,3,6,4,5,10,7,1,4,2,53
219,"Electric Heating",2,6,5,8,9,6,6,3,3,2,1,1,51
002,"Apparel",3,3,3,3,9,6,6,2,3,1,8,3,50
297,"Chairs and Seats",5,2,6,8,10,3,2,3,2,2,3,1,46
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",6,8,5,7,3,0,4,3,0,3,3,4,46
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",4,2,7,9,5,1,5,0,2,2,5,4,45
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",0,0,1,0,0,0,1,2,5,6,13,14,42
303,"Fluid-Pressure and Analogous Brake Systems",5,3,7,5,3,5,2,1,2,3,3,3,42
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",2,5,5,3,7,3,2,6,2,0,4,2,40
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",3,5,6,5,3,1,3,0,2,3,4,3,38
356,"Optics:  Measuring and Testing",6,3,3,5,2,3,3,3,5,2,0,1,34
060,"Power Plants",3,4,5,5,8,4,1,0,0,3,0,0,34
062,"Refrigeration",1,2,8,4,1,0,2,7,2,2,2,3,34
073,"Measuring and Testing",1,0,4,4,3,3,5,3,2,1,2,7,33
340,"Communications:  Electrical",5,0,1,2,2,3,2,1,8,3,5,1,33
029,"Metal Working",6,8,2,1,4,3,3,1,0,5,0,1,32
310,"Electrical Generator or Motor Structure",4,5,2,6,3,1,1,2,2,2,3,2,32
382,"Image Analysis",6,1,2,2,4,2,1,5,1,2,5,1,30
296,"Land Vehicles:  Bodies and Tops",1,7,5,4,1,1,0,3,1,1,2,1,27
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",5,2,2,4,4,0,1,0,0,0,3,6,27
052,"Static Structures (e.g., Buildings)",4,3,1,3,2,3,2,0,0,3,2,3,24
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",3,3,3,2,1,1,1,1,2,3,2,3,24
318,"Electricity:  Motive Power Systems",4,1,1,0,3,1,1,3,1,2,1,5,23
252,"Compositions",0,1,2,2,4,0,5,2,2,2,2,1,22
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",1,2,3,6,3,0,2,1,2,1,0,1,22
