Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",4,5,5,4,3,1,2,4,0,2,6,1,37
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",3,1,3,2,2,1,4,4,1,3,2,2,28
204,"Chemistry:  Electrical and Wave Energy",5,6,3,2,3,2,1,0,1,0,0,1,24
435,"Chemistry: Molecular Biology and Microbiology",3,2,2,2,0,1,2,6,0,1,3,1,23
532,"Organic Compounds (includes Classes 532-570)",1,2,4,0,1,0,1,1,2,2,3,2,19
256,"Fences",1,0,1,1,2,3,0,3,1,2,1,1,16
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",1,1,2,0,2,2,2,3,1,0,0,1,15
439,"Electrical Connectors",3,2,2,2,2,0,1,1,0,1,0,0,14
356,"Optics:  Measuring and Testing",1,2,0,0,1,3,2,1,0,0,3,0,13
073,"Measuring and Testing",1,1,2,2,0,0,3,3,0,0,0,0,12
128,"Surgery (includes Class 600)",1,0,1,4,0,1,0,0,1,0,0,4,12
166,"Wells (shafts or deep borings in the earth, e.g., for oil and gas)",0,0,1,1,0,1,1,0,3,0,1,3,11
250,"Radiant Energy",0,0,1,2,0,0,1,2,2,0,1,2,11
297,"Chairs and Seats",1,3,0,2,0,1,2,1,0,0,0,1,11
205,"Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions",0,1,3,1,2,1,1,0,1,0,0,0,10
404,"Road Structure, Process, or Apparatus",2,2,2,1,1,0,1,0,0,1,0,0,10
423,"Chemistry of Inorganic Compounds",0,1,0,0,0,1,0,3,0,1,4,0,10
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",1,0,1,1,3,1,1,0,0,1,1,0,10
062,"Refrigeration",0,0,1,0,1,0,1,2,2,0,0,1,8
210,"Liquid Purification or Separation",2,0,1,1,1,0,1,1,0,1,0,0,8
318,"Electricity:  Motive Power Systems",0,1,2,1,1,1,2,0,0,0,0,0,8
436,"Chemistry: Analytical and Immunological Testing",0,0,1,1,0,2,0,0,0,0,3,1,8
341,"Coded Data Generation or Conversion",0,0,1,0,0,0,0,2,2,1,1,0,7
428,"Stock Material or Miscellaneous Articles",0,1,0,0,0,0,0,0,0,1,0,5,7
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",1,0,0,2,0,0,1,0,0,1,1,0,6
060,"Power Plants",1,0,1,1,1,1,0,0,0,0,0,0,5
324,"Electricity:  Measuring and Testing",0,0,0,2,1,1,0,0,1,0,0,0,5
375,"Pulse or Digital Communications",0,0,0,0,0,0,1,2,0,0,0,2,5
385,"Optical Waveguides",0,0,0,0,4,1,0,0,0,0,0,0,5
398,"Optical Communications",0,0,1,2,1,0,1,0,0,0,0,0,5
416,"Fluid Reaction Surfaces (i.e., Impellers)",1,0,1,2,1,0,0,0,0,0,0,0,5
703,"DP: Structural Design, Modeling, Simulation, and Emulation (Data Processing)",0,0,0,0,0,0,1,0,1,1,0,2,5
252,"Compositions",0,0,1,1,0,0,0,0,1,1,0,0,4
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",1,0,0,1,0,1,0,1,0,0,0,0,4
359,"Optical: Systems and Elements",0,1,0,1,1,1,0,0,0,0,0,0,4
361,"Electricity:  Electrical Systems and Devices",0,2,0,0,1,1,0,0,0,0,0,0,4
418,"Rotary Expansible Chamber Devices",0,0,0,0,0,0,1,1,0,0,2,0,4
426,"Food or Edible Material:  Processes, Compositions, and Products",1,1,0,0,0,0,0,0,0,1,0,1,4
518,"Chemistry:  Fischer-Tropsch Processes; or Purification or Recovery of Products Thereof",1,1,0,1,0,0,0,1,0,0,0,0,4
585,"Chemistry of Hydrocarbon Compounds",0,0,1,1,0,0,1,1,0,0,0,0,4
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",1,2,1,0,0,0,0,0,0,0,0,0,4
714,"Error Detection/Correction and Fault Detection/Recovery",0,0,0,0,0,0,0,0,0,1,2,1,4
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",0,0,0,0,0,0,1,0,1,1,1,0,4
042,"Firearms",0,0,0,0,0,0,0,0,2,0,1,0,3
160,"Flexible or Portable Closure, Partition, or Panel",1,2,0,0,0,0,0,0,0,0,0,0,3
254,"Implements or Apparatus for Applying Pushing or Pulling Force",0,0,1,1,0,1,0,0,0,0,0,0,3
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",0,0,0,0,1,1,0,0,0,0,0,1,3
310,"Electrical Generator or Motor Structure",0,0,0,0,0,0,0,0,1,0,1,1,3
330,"Amplifiers",0,0,2,0,0,0,0,1,0,0,0,0,3
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",1,0,1,0,0,0,0,1,0,0,0,0,3
438,"Semiconductor Device Manufacturing: Process",0,0,1,1,0,0,1,0,0,0,0,0,3
482,"Exercise Devices",0,0,0,0,0,0,0,1,0,0,2,0,3
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",0,1,1,0,0,0,0,1,0,0,0,0,3
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,0,0,0,1,0,0,0,0,0,0,2,3
712,"Processing Architectures and Instruction Processing, e.g., Processors (Electrical Computers and Digital Processing Systems)",0,0,0,0,0,0,0,0,0,1,0,2,3
008,"Bleaching and Dyeing; Fluid Treatment and Chemical Modification of Textiles and Fibers",0,0,0,1,0,0,0,0,0,0,1,0,2
072,"Metal Deforming",0,0,0,0,0,2,0,0,0,0,0,0,2
081,"Tools",0,0,0,0,0,0,0,0,0,0,1,1,2
095,"Gas Separation:  Processes",0,1,0,0,0,0,0,0,0,1,0,0,2
106,"Compositions:  Coating or Plastic",1,0,0,0,0,0,1,0,0,0,0,0,2
