Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
370,"Multiplex Communications",89,89,109,122,141,126,152,134,146,159,197,215,1679
438,"Semiconductor Device Manufacturing: Process",130,167,120,125,170,104,130,115,106,98,117,99,1481
455,"Telecommunications",166,157,106,81,87,80,114,89,72,74,117,103,1246
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",76,69,67,80,88,74,58,61,49,48,63,66,799
375,"Pulse or Digital Communications",39,36,40,37,47,49,74,59,72,53,62,73,641
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",17,32,32,32,45,38,51,48,45,44,76,74,534
714,"Error Detection/Correction and Fault Detection/Recovery",20,25,26,26,27,18,45,40,55,82,75,92,531
379,"Telephonic Communications",69,57,45,59,58,38,44,29,23,32,34,33,521
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",39,52,66,50,36,33,39,37,24,34,46,51,507
166,"Wells (shafts or deep borings in the earth, e.g., for oil and gas)",74,51,37,31,44,34,37,41,26,18,37,34,464
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",27,15,15,12,9,34,34,29,46,32,93,90,436
365,"Static Information Storage and Retrieval",53,36,32,41,41,36,34,26,24,27,30,37,417
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",43,53,42,43,37,32,31,28,23,22,31,20,405
361,"Electricity:  Electrical Systems and Devices",35,47,41,31,35,30,28,29,24,18,28,24,370
385,"Optical Waveguides",8,16,35,31,39,24,24,42,26,35,41,19,340
359,"Optical: Systems and Elements",20,24,17,37,35,45,41,16,29,21,18,26,329
340,"Communications:  Electrical",39,18,25,11,22,18,37,28,23,33,27,24,305
398,"Optical Communications",13,7,13,18,20,9,26,41,17,33,32,31,260
707,"DP: Database and File Management or Data Structures (Data Processing)",19,22,17,18,15,19,13,22,16,27,32,34,254
324,"Electricity:  Measuring and Testing",19,11,15,21,24,31,22,17,18,20,31,22,251
341,"Coded Data Generation or Conversion",12,30,25,26,13,27,20,17,20,14,17,17,238
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",6,6,16,22,25,28,25,26,20,21,13,16,224
330,"Amplifiers",20,19,25,23,22,13,20,16,15,11,18,18,220
