Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
174,"Electricity:  Conductors and Insulators",4,20,27,25,14,6,5,10,3,5,6,2,127
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",10,8,14,18,24,8,12,5,7,2,7,1,116
029,"Metal Working",16,7,7,14,15,11,10,6,7,6,8,2,109
438,"Semiconductor Device Manufacturing: Process",12,11,2,10,5,11,10,5,5,5,3,1,80
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",10,9,8,6,5,5,4,4,4,3,2,10,70
361,"Electricity:  Electrical Systems and Devices",12,13,9,12,6,1,2,3,1,0,5,2,66
382,"Image Analysis",3,0,1,1,7,3,11,15,7,3,5,7,63
439,"Electrical Connectors",6,5,3,3,4,3,10,7,4,2,1,5,53
375,"Pulse or Digital Communications",6,12,3,2,3,8,7,1,1,3,2,2,50
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",2,1,1,1,6,1,6,5,8,1,5,12,49
428,"Stock Material or Miscellaneous Articles",13,6,9,10,2,1,2,2,2,0,1,0,48
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",11,7,8,4,4,3,3,0,1,1,0,1,43
707,"DP: Database and File Management or Data Structures (Data Processing)",3,1,6,4,3,2,5,2,2,4,2,9,43
228,"Metal Fusion Bonding",10,8,3,4,4,1,3,0,0,0,0,0,33
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",1,0,3,2,1,9,5,4,4,0,4,0,33
714,"Error Detection/Correction and Fault Detection/Recovery",1,2,2,5,4,2,2,3,1,4,5,1,32
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",1,6,5,3,4,4,3,1,0,0,0,1,28
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",3,2,1,2,3,5,2,1,1,4,3,1,28
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,1,3,0,7,4,5,3,0,1,0,3,27
710,"Input/Output (Electrical Computers and Digital Processing Systems)",6,4,3,1,1,2,2,0,3,2,1,2,27
