Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
385,"Optical Waveguides",8,16,16,13,15,19,13,6,6,5,6,3,126
438,"Semiconductor Device Manufacturing: Process",11,14,19,10,15,6,9,3,2,7,4,9,109
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",21,13,13,4,13,8,3,7,6,8,7,6,109
532,"Organic Compounds (includes Classes 532-570)",10,9,13,10,8,13,15,8,4,4,2,3,99
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",6,5,10,5,10,7,9,7,10,9,8,11,97
375,"Pulse or Digital Communications",11,3,1,13,6,4,3,6,6,13,17,8,91
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",16,14,5,4,4,4,5,15,6,8,4,5,90
062,"Refrigeration",10,14,6,6,4,2,10,8,3,10,4,2,79
095,"Gas Separation:  Processes",7,6,5,14,5,2,3,8,8,4,7,7,76
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",9,9,6,8,4,1,5,1,6,5,8,7,69
714,"Error Detection/Correction and Fault Detection/Recovery",9,5,4,7,8,1,0,4,5,5,9,7,64
370,"Multiplex Communications",2,6,6,2,4,4,2,4,4,9,14,6,63
423,"Chemistry of Inorganic Compounds",6,7,1,5,3,3,6,1,8,3,10,8,61
315,"Electric Lamp and Discharge Devices:  Systems",3,7,3,3,4,2,4,7,2,4,7,13,59
248,"Supports (e.g., for holding articles, etc.)",6,1,4,6,5,4,10,4,3,3,9,3,58
359,"Optical: Systems and Elements",12,2,4,9,5,7,5,6,2,2,2,1,57
455,"Telecommunications",3,1,6,5,4,1,2,7,4,3,5,11,52
326,"Electronic Digital Logic Circuitry",8,3,2,1,1,10,6,6,3,6,2,2,50
428,"Stock Material or Miscellaneous Articles",3,0,9,3,10,6,3,5,4,2,2,3,50
365,"Static Information Storage and Retrieval",11,8,1,3,0,2,0,6,3,4,5,5,48
379,"Telephonic Communications",5,6,5,6,7,3,4,2,1,2,0,6,47
361,"Electricity:  Electrical Systems and Devices",4,1,7,4,2,0,1,3,3,6,4,5,40
340,"Communications:  Electrical",2,1,3,0,1,2,1,2,4,6,4,9,35
372,"Coherent Light Generators",4,4,3,4,4,3,5,1,1,0,5,1,35
141,"Fluent Material Handling, with Receiver or Receiver Coacting Means",0,1,1,4,3,6,4,3,3,1,5,3,34
324,"Electricity:  Measuring and Testing",3,3,4,5,6,2,5,1,1,2,2,0,34
210,"Liquid Purification or Separation",4,2,5,1,1,6,3,3,3,3,1,1,33
710,"Input/Output (Electrical Computers and Digital Processing Systems)",1,8,3,4,5,0,0,1,2,1,7,1,33
711,"Memory (Electrical Computers and Digital Processing Systems)",6,5,6,3,1,1,0,1,2,4,2,0,31
331,"Oscillators",3,3,1,5,2,2,4,3,1,3,3,0,30
606,"Surgery (instruments)",0,1,0,5,1,2,3,2,4,1,5,6,30
356,"Optics:  Measuring and Testing",0,1,2,6,2,2,3,5,3,2,1,2,29
439,"Electrical Connectors",2,2,1,0,2,5,2,2,3,3,3,4,29
029,"Metal Working",4,6,1,0,2,2,3,8,0,0,2,0,28
341,"Coded Data Generation or Conversion",4,7,2,3,1,0,2,0,2,1,4,1,27
426,"Food or Edible Material:  Processes, Compositions, and Products",2,3,5,3,0,1,1,4,2,1,4,1,27
427,"Coating Processes",3,6,3,2,3,2,0,2,2,2,0,2,27
073,"Measuring and Testing",1,3,1,4,3,3,1,0,5,2,0,3,26
252,"Compositions",6,1,0,4,1,1,3,0,1,5,4,0,26
510,"Cleaning Compositions for Solid Surfaces, Auxiliary Compositions Therefor, or Processes of Preparing the Compositions",1,2,3,2,2,0,1,1,2,2,4,6,26
137,"Fluid Handling",1,0,2,2,3,4,1,2,4,2,3,1,25
713,"Support (Electrical Computers and Digital Processing Systems)",2,4,1,3,0,2,2,3,3,4,0,1,25
716,"Computer-Aided Design and Analysis of Circuits and Semiconductor Masks",0,1,2,1,2,0,2,3,3,6,3,2,25
005,"Beds",2,1,0,0,0,1,3,4,5,4,2,1,23
134,"Cleaning and Liquid Contact with Solids",0,2,2,5,1,6,0,3,1,1,1,1,23
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",0,2,0,0,3,0,3,3,1,2,4,4,22
106,"Compositions:  Coating or Plastic",6,4,4,1,1,0,1,0,2,0,2,0,21
128,"Surgery (includes Class 600)",1,1,2,2,3,1,2,2,2,2,1,2,21
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",5,3,1,1,3,3,1,1,0,0,0,2,20
160,"Flexible or Portable Closure, Partition, or Panel",0,2,1,0,2,1,3,2,0,3,3,3,20
360,"Dynamic Magnetic Information Storage or Retrieval",2,0,1,0,1,2,3,3,1,4,2,1,20
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",0,1,0,1,0,0,2,1,5,1,4,5,20
708,"Arithmetic Processing and Calculating (Electrical Computers)",5,2,4,2,4,0,2,0,0,0,0,1,20
222,"Dispensing (apparatus and process)",1,5,4,1,0,1,1,2,0,0,3,1,19
362,"Illumination",1,1,1,0,1,1,3,1,1,3,3,3,19
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",1,1,0,1,3,2,0,0,1,2,3,5,19
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",3,2,3,3,1,4,0,0,0,0,2,1,19
502,"Catalyst, Solid Sorbent, or Support Therefor:  Product or Process of Making",0,2,1,3,0,1,1,2,2,3,2,2,19
206,"Special Receptacle or Package",4,0,1,0,5,0,1,1,2,1,1,2,18
398,"Optical Communications",1,2,3,5,0,1,1,1,1,3,0,0,18
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,2,0,3,1,0,3,4,0,1,3,1,18
173,"Tool Driving or Impacting",1,1,3,2,1,2,0,1,0,2,1,3,17
271,"Sheet Feeding or Delivering",3,2,1,1,1,3,1,1,3,1,0,0,17
208,"Mineral Oils: Processes and Products",0,3,3,0,2,0,0,1,2,0,4,1,16
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",1,3,0,1,0,3,2,2,1,0,2,1,16
250,"Radiant Energy",3,0,0,3,1,1,1,2,1,0,2,1,15
285,"Pipe Joints or Couplings",1,3,2,2,0,1,1,1,0,2,1,1,15
604,"Surgery (Medicators and Receptors)",1,0,1,2,1,1,1,0,0,4,2,2,15
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",3,4,0,1,1,0,0,2,0,1,2,1,15
712,"Processing Architectures and Instruction Processing, e.g., Processors (Electrical Computers and Digital Processing Systems)",2,9,1,1,1,1,0,0,0,0,0,0,15
102,"Ammunition and Explosives",0,1,1,1,1,1,3,1,0,4,1,0,14
174,"Electricity:  Conductors and Insulators",2,3,1,0,0,0,0,1,2,2,0,3,14
211,"Supports:  Racks",1,2,0,1,2,5,1,0,0,1,1,0,14
251,"Valves and Valve Actuation",0,1,1,0,1,4,3,1,1,1,1,0,14
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",1,1,0,1,1,2,1,2,1,1,1,2,14
307,"Electrical Transmission or Interconnection Systems",0,1,0,0,0,1,0,0,0,3,6,2,13
431,"Combustion",0,1,1,1,2,2,1,1,0,1,3,0,13
040,"Card, Picture, or Sign Exhibiting",1,2,1,2,2,1,0,0,0,1,1,1,12
