Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",21,19,18,19,13,10,8,9,17,22,35,16,207
128,"Surgery (includes Class 600)",15,15,16,16,13,14,14,11,8,3,8,11,144
606,"Surgery (instruments)",16,12,9,7,5,8,7,6,2,5,12,14,103
340,"Communications:  Electrical",5,6,7,9,8,4,8,13,9,7,5,9,90
604,"Surgery (Medicators and Receptors)",11,6,7,5,2,2,10,5,1,7,12,22,90
375,"Pulse or Digital Communications",11,7,7,6,3,8,11,5,5,5,9,4,81
052,"Static Structures (e.g., Buildings)",18,9,6,3,4,5,2,5,5,6,4,10,77
210,"Liquid Purification or Separation",9,9,3,9,5,2,6,5,4,4,5,9,70
370,"Multiplex Communications",9,10,6,7,2,3,5,2,1,4,8,10,67
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",4,4,2,1,4,1,6,3,7,2,18,14,66
435,"Chemistry: Molecular Biology and Microbiology",4,3,2,1,8,3,5,5,5,4,10,15,65
280,"Land Vehicles",6,4,4,1,4,9,8,4,6,6,4,5,61
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",4,3,6,11,6,9,1,1,3,2,10,3,59
362,"Illumination",9,8,4,5,2,2,3,9,4,5,4,3,58
623,"Prosthesis (i.e., Artificial Body Members), Parts Thereof, or Aids and Accessories Therefor",2,4,3,13,14,4,3,2,2,4,4,3,58
473,"Games Using Tangible Projectile",7,4,7,3,7,4,4,2,5,3,5,3,54
379,"Telephonic Communications",7,6,2,6,7,2,8,3,3,0,2,4,50
062,"Refrigeration",5,6,4,4,4,6,7,5,2,3,0,2,48
005,"Beds",2,7,1,3,2,7,7,2,7,3,1,4,46
073,"Measuring and Testing",4,0,4,3,2,7,5,4,6,4,3,2,44
439,"Electrical Connectors",5,4,6,3,2,3,2,4,6,5,2,2,44
206,"Special Receptacle or Package",8,7,1,4,3,0,4,3,2,2,4,4,42
114,"Ships",3,3,4,3,1,6,8,2,0,2,4,5,41
361,"Electricity:  Electrical Systems and Devices",1,3,5,2,2,0,5,0,4,4,7,8,41
725,"Interactive Video Distribution Systems",0,0,1,4,2,2,2,0,1,5,13,10,40
356,"Optics:  Measuring and Testing",4,2,1,0,1,0,3,3,9,4,5,7,39
428,"Stock Material or Miscellaneous Articles",4,5,6,3,5,1,1,2,2,2,3,5,39
137,"Fluid Handling",3,1,4,2,2,6,6,3,3,2,4,2,38
455,"Telecommunications",1,3,0,2,3,1,3,4,2,2,7,10,38
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",2,4,4,2,0,3,4,1,3,2,6,6,37
482,"Exercise Devices",3,4,4,0,3,1,3,2,4,3,4,5,36
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",0,3,4,5,2,3,1,1,2,3,6,5,35
248,"Supports (e.g., for holding articles, etc.)",4,1,3,3,3,1,6,2,1,3,3,4,34
532,"Organic Compounds (includes Classes 532-570)",0,0,3,2,1,2,5,2,5,4,2,8,34
002,"Apparel",3,6,4,0,4,4,3,1,3,0,2,3,33
324,"Electricity:  Measuring and Testing",3,0,0,3,4,1,5,10,3,1,2,0,32
438,"Semiconductor Device Manufacturing: Process",1,4,2,4,2,4,5,0,2,2,4,2,32
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",3,0,2,2,2,2,3,1,5,1,7,4,32
053,"Package Making",1,0,1,3,5,2,3,2,4,0,4,6,31
427,"Coating Processes",1,2,5,4,0,0,1,2,1,3,8,4,31
029,"Metal Working",4,6,4,1,3,3,2,0,0,2,2,1,28
015,"Brushing, Scrubbing, and General Cleaning",4,3,2,4,1,2,3,3,1,2,2,0,27
222,"Dispensing (apparatus and process)",5,2,2,3,4,1,4,0,0,1,2,3,27
004,"Baths, Closets, Sinks, and Spittoons",3,1,6,3,1,2,1,1,0,3,1,4,26
359,"Optical: Systems and Elements",2,1,0,1,4,3,5,5,2,3,0,0,26
382,"Image Analysis",1,1,0,0,0,0,1,3,6,2,6,6,26
040,"Card, Picture, or Sign Exhibiting",5,2,3,1,2,2,1,0,1,3,3,2,25
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",0,0,0,3,2,3,1,1,3,3,4,5,25
607,"Surgery: Light, Thermal, and Electrical Application",0,3,0,2,7,1,2,4,2,1,0,3,25
099,"Foods and Beverages: Apparatus",1,1,2,2,3,5,4,0,2,2,0,2,24
399,"Electrophotography",0,0,0,1,0,0,4,4,4,5,3,3,24
084,"Music",2,0,0,0,2,2,0,2,2,3,5,5,23
119,"Animal Husbandry",3,0,1,3,3,4,1,2,1,1,2,2,23
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",1,3,2,1,1,0,3,4,1,1,2,4,23
219,"Electric Heating",3,3,3,1,1,0,1,3,2,1,2,2,22
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",2,0,3,0,2,1,0,2,5,1,2,4,22
043,"Fishing, Trapping, and Vermin Destroying",4,3,0,2,3,1,1,3,1,0,1,2,21
405,"Hydraulic and Earth Engineering",0,1,1,4,4,2,2,0,0,0,4,3,21
414,"Material or Article Handling",2,2,5,3,2,2,1,1,0,1,2,0,21
713,"Support (Electrical Computers and Digital Processing Systems)",1,1,0,1,0,1,1,2,1,3,4,6,21
714,"Error Detection/Correction and Fault Detection/Recovery",1,1,1,0,1,0,3,1,2,2,6,3,21
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",2,0,1,0,2,1,1,4,1,1,1,6,20
239,"Fluid Sprinkling, Spraying, and Diffusing",5,3,2,2,1,1,0,2,0,1,1,2,20
273,"Amusement Devices:  Games",1,2,3,1,0,2,3,2,0,1,2,3,20
296,"Land Vehicles:  Bodies and Tops",4,2,0,1,1,2,1,1,5,1,1,1,20
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",1,0,1,4,2,0,2,1,3,1,2,3,20
174,"Electricity:  Conductors and Insulators",2,1,2,4,2,0,1,0,2,2,1,2,19
198,"Conveyors:  Power-Driven",1,0,2,2,4,1,2,1,1,1,2,2,19
244,"Aeronautics and Astronautics",1,0,2,0,2,1,2,1,2,2,1,5,19
250,"Radiant Energy",1,0,1,1,2,2,2,1,3,1,5,0,19
294,"Handling:  Hand and Hoist-Line Implements",3,2,2,2,0,3,0,1,3,0,0,3,19
315,"Electric Lamp and Discharge Devices:  Systems",4,4,5,2,1,1,0,0,2,0,0,0,19
123,"Internal-Combustion Engines",1,4,3,2,0,1,1,1,0,1,1,3,18
297,"Chairs and Seats",4,4,0,1,2,0,0,3,2,1,0,1,18
440,"Marine Propulsion",3,1,1,1,2,0,1,1,4,2,1,0,17
707,"DP: Database and File Management or Data Structures (Data Processing)",3,2,0,1,1,0,1,0,0,4,2,3,17
016,"Miscellaneous Hardware",4,1,1,2,1,2,0,1,0,0,0,4,16
033,"Geometrical Instruments",0,1,3,2,0,0,2,1,0,1,4,2,16
141,"Fluent Material Handling, with Receiver or Receiver Coacting Means",1,1,2,1,1,4,1,2,1,1,0,1,16
204,"Chemistry:  Electrical and Wave Energy",2,3,0,3,1,1,0,0,1,1,3,1,16
425,"Plastic Article or Earthenware Shaping or Treating: Apparatus",1,0,1,2,2,5,1,0,0,0,2,2,16
106,"Compositions:  Coating or Plastic",2,0,0,2,3,0,2,0,2,0,2,2,15
416,"Fluid Reaction Surfaces (i.e., Impellers)",1,3,2,3,1,1,0,1,0,0,2,1,15
220,"Receptacles",7,2,2,1,1,0,0,0,0,1,0,0,14
224,"Package and Article Carriers",2,4,3,1,1,0,1,0,0,0,1,1,14
310,"Electrical Generator or Motor Structure",0,1,1,0,2,1,1,2,2,3,0,1,14
333,"Wave Transmission Lines and Networks",1,0,1,5,2,1,0,2,1,0,1,0,14
404,"Road Structure, Process, or Apparatus",0,1,4,1,2,0,1,1,4,0,0,0,14
451,"Abrading",2,5,1,1,2,0,0,1,0,0,1,1,14
