Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",14,28,20,20,20,13,22,19,23,23,35,47,283
607,"Surgery: Light, Thermal, and Electrical Application",7,13,18,17,27,24,29,35,19,18,21,26,254
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",6,12,7,15,12,19,13,7,12,13,16,19,149
435,"Chemistry: Molecular Biology and Microbiology",9,17,9,8,8,9,12,10,12,20,12,19,145
359,"Optical: Systems and Elements",8,14,10,11,16,10,9,13,7,4,8,8,116
604,"Surgery (Medicators and Receptors)",8,4,3,11,7,5,9,3,5,9,24,28,115
370,"Multiplex Communications",3,5,4,6,4,10,10,9,11,11,21,9,100
439,"Electrical Connectors",15,19,17,17,8,7,1,3,4,3,2,2,98
343,"Communications:  Radio Wave Antennas",8,6,4,8,5,18,9,7,9,5,8,6,92
128,"Surgery (includes Class 600)",11,4,6,13,5,4,9,9,6,7,8,9,91
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",6,7,2,4,5,6,7,5,10,5,20,11,87
342,"Communications:  Directive Radio Wave Systems and Devices (e.g., Radar, Radio Navigation)",3,6,12,16,7,4,7,1,10,8,10,4,86
385,"Optical Waveguides",7,9,9,12,8,4,8,11,9,1,3,3,84
438,"Semiconductor Device Manufacturing: Process",6,3,9,9,5,10,6,9,5,10,8,8,84
073,"Measuring and Testing",4,6,7,14,7,8,6,10,3,7,7,3,79
532,"Organic Compounds (includes Classes 532-570)",0,1,1,4,1,2,6,5,17,10,11,13,70
250,"Radiant Energy",3,4,7,7,8,2,6,4,3,10,8,9,70
324,"Electricity:  Measuring and Testing",1,5,12,8,9,6,6,6,1,5,4,5,67
455,"Telecommunications",2,4,6,5,5,9,5,9,9,3,3,8,66
381,"Electrical Audio Signal Processing Systems and Devices",4,2,3,2,5,2,4,6,4,4,16,14,65
372,"Coherent Light Generators",2,0,3,6,7,8,15,3,6,5,7,3,63
330,"Amplifiers",5,4,7,12,11,4,3,1,1,2,3,6,58
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",0,1,1,3,2,5,7,7,5,6,9,13,57
362,"Illumination",1,7,5,3,3,3,7,8,2,4,8,7,56
210,"Liquid Purification or Separation",6,8,6,5,6,5,2,1,2,6,4,4,55
701,"DP: Vehicles, Navigation, and Relative Location (Data Processing)",2,4,11,6,6,0,5,6,4,3,3,5,54
348,"Television",1,2,3,7,6,6,4,5,3,4,5,7,52
060,"Power Plants",4,4,3,4,7,8,6,4,2,3,3,2,49
382,"Image Analysis",2,5,1,3,3,3,1,5,5,8,10,4,49
345,"Computer Graphics Processing and Selective Visual Display Systems",4,9,2,4,5,4,10,3,2,3,1,2,48
375,"Pulse or Digital Communications",4,3,3,4,4,3,3,7,3,7,4,4,48
333,"Wave Transmission Lines and Networks",3,0,5,3,4,2,6,5,4,5,4,8,46
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",1,3,3,6,5,1,4,4,5,5,4,5,46
340,"Communications:  Electrical",2,7,3,3,5,6,6,3,6,2,1,3,46
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",0,2,0,0,2,1,4,2,6,2,13,15,46
084,"Music",4,1,2,4,4,4,6,3,8,4,5,1,45
361,"Electricity:  Electrical Systems and Devices",5,1,2,5,6,4,7,5,4,0,2,2,43
356,"Optics:  Measuring and Testing",2,2,5,2,2,2,4,3,5,5,6,3,41
428,"Stock Material or Miscellaneous Articles",4,6,1,2,4,4,2,3,3,2,5,5,41
029,"Metal Working",5,5,2,4,0,3,6,5,1,4,3,2,40
379,"Telephonic Communications",2,6,7,4,2,3,3,3,1,2,3,1,37
707,"DP: Database and File Management or Data Structures (Data Processing)",4,0,1,1,2,4,2,3,1,4,3,12,37
473,"Games Using Tangible Projectile",6,2,1,1,1,2,1,6,4,10,0,3,36
310,"Electrical Generator or Motor Structure",3,3,5,1,6,5,3,4,1,1,4,1,36
341,"Coded Data Generation or Conversion",2,2,2,5,4,2,4,4,2,3,4,3,35
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",2,6,4,3,3,4,3,1,2,1,4,3,34
280,"Land Vehicles",5,6,6,3,1,1,1,4,2,2,0,0,30
602,"Surgery: Splint, Brace, or Bandage",4,1,1,0,1,5,4,3,1,3,2,4,29
052,"Static Structures (e.g., Buildings)",5,3,4,4,2,0,2,2,0,1,3,2,28
606,"Surgery (instruments)",2,2,3,4,3,1,2,1,0,0,5,5,27
137,"Fluid Handling",5,1,4,2,2,1,3,0,4,2,2,0,26
002,"Apparel",2,1,0,0,4,4,3,3,1,2,3,3,25
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",1,1,3,0,5,4,1,1,1,1,3,4,25
102,"Ammunition and Explosives",0,1,1,5,2,3,4,0,3,1,1,3,24
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",1,3,5,3,3,0,1,1,1,2,3,2,24
244,"Aeronautics and Astronautics",0,1,3,4,4,0,2,2,2,1,4,1,24
363,"Electric Power Conversion Systems",5,3,2,4,3,0,4,0,2,0,1,0,24
714,"Error Detection/Correction and Fault Detection/Recovery",2,3,4,1,2,2,2,3,1,0,3,1,24
033,"Geometrical Instruments",0,1,0,3,3,2,1,2,2,3,2,3,22
290,"Prime-Mover Dynamo Plants",0,1,2,3,6,1,3,1,1,1,2,2,22
351,"Optics:  Eye Examining, Vision Testing and Correcting",0,0,1,1,1,5,1,5,4,3,1,0,22
