Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
244,"Aeronautics and Astronautics",0,1,1,0,0,0,0,1,0,2,1,0,6
382,"Image Analysis",0,0,0,0,0,0,0,6,0,0,0,0,6
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",0,0,2,0,0,0,0,0,0,2,0,2,6
435,"Chemistry: Molecular Biology and Microbiology",1,0,1,1,0,0,0,0,0,0,2,1,6
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,0,0,0,2,2,2,0,0,0,0,0,6
261,"Gas and Liquid Contact Apparatus",0,0,0,0,1,0,3,0,0,1,0,0,5
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",0,0,0,1,0,0,0,0,0,0,3,1,5
202,"Distillation: Apparatus",0,0,0,0,1,0,1,1,0,0,0,1,4
205,"Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions",1,1,0,0,1,1,0,0,0,0,0,0,4
060,"Power Plants",2,0,0,0,0,0,0,0,0,0,1,0,3
073,"Measuring and Testing",0,1,1,0,0,1,0,0,0,0,0,0,3
082,"Turning (e.g., for metal working)",0,0,0,0,0,0,0,0,0,2,0,1,3
340,"Communications:  Electrical",1,1,0,0,0,0,0,0,0,0,0,1,3
029,"Metal Working",0,0,0,0,0,0,0,0,0,0,1,1,2
062,"Refrigeration",0,2,0,0,0,0,0,0,0,0,0,0,2
084,"Music",0,0,0,0,0,0,0,0,0,1,1,0,2
089,"Ordnance",0,0,0,0,0,0,0,0,1,0,0,1,2
177,"Weighing Scales",0,0,0,0,0,0,0,2,0,0,0,0,2
248,"Supports (e.g., for holding articles, etc.)",0,0,0,0,0,1,0,1,0,0,0,0,2
251,"Valves and Valve Actuation",0,0,0,0,0,0,1,1,0,0,0,0,2
280,"Land Vehicles",0,0,0,0,0,0,1,0,0,0,1,0,2
356,"Optics:  Measuring and Testing",0,0,0,0,1,0,1,0,0,0,0,0,2
