Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",37,51,58,38,32,49,55,40,32,46,62,50,550
435,"Chemistry: Molecular Biology and Microbiology",17,31,27,24,16,21,17,16,9,12,16,22,228
532,"Organic Compounds (includes Classes 532-570)",15,19,15,8,5,9,10,11,17,7,10,16,142
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",13,14,8,9,15,5,4,8,7,8,14,12,117
606,"Surgery (instruments)",9,4,2,6,5,8,9,5,1,10,20,25,104
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",5,3,3,1,5,9,9,11,12,15,13,18,104
439,"Electrical Connectors",8,11,10,6,9,11,7,5,3,5,7,8,90
128,"Surgery (includes Class 600)",11,11,10,9,6,3,10,6,6,3,9,5,89
250,"Radiant Energy",8,10,5,5,10,7,5,8,5,6,5,6,80
604,"Surgery (Medicators and Receptors)",3,3,6,5,4,3,8,2,2,3,14,17,70
030,"Cutlery",2,5,3,8,6,2,11,5,6,3,6,4,61
428,"Stock Material or Miscellaneous Articles",7,3,6,11,4,8,4,5,2,1,4,2,57
073,"Measuring and Testing",4,3,3,3,1,5,12,3,7,4,7,3,55
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",6,3,4,4,4,4,7,2,3,7,2,6,52
271,"Sheet Feeding or Delivering",4,7,4,5,7,1,0,1,2,3,7,3,44
227,"Elongated-Member-Driving Apparatus",1,2,0,0,3,0,3,2,1,6,10,15,43
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",2,1,2,4,3,9,5,1,4,4,4,4,43
174,"Electricity:  Conductors and Insulators",2,4,3,5,3,4,4,3,3,4,3,2,40
029,"Metal Working",5,2,1,3,2,3,8,4,2,3,2,2,37
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",2,1,2,4,2,1,3,2,5,4,6,3,35
416,"Fluid Reaction Surfaces (i.e., Impellers)",2,1,1,2,2,4,3,1,3,6,8,2,35
340,"Communications:  Electrical",1,7,1,2,1,1,4,4,4,2,4,3,34
436,"Chemistry: Analytical and Immunological Testing",2,3,3,3,1,5,0,3,6,2,2,4,34
244,"Aeronautics and Astronautics",5,2,5,3,2,1,2,3,1,3,2,4,33
359,"Optical: Systems and Elements",2,2,2,2,3,4,7,3,3,1,2,2,33
433,"Dentistry",6,3,2,3,1,4,1,6,2,1,2,2,33
356,"Optics:  Measuring and Testing",2,1,0,1,2,3,3,7,1,1,5,6,32
362,"Illumination",2,3,3,3,3,2,1,4,3,4,3,1,32
060,"Power Plants",1,1,0,2,4,0,4,2,0,4,5,8,31
210,"Liquid Purification or Separation",2,3,4,2,3,4,0,5,1,3,3,1,31
