Class,Class Title,2000 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Total
347,"Incremental Printing of Symbolic Information",42,58,77,66,42,51,42,18,23,33,34,39,525
257,"Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)",11,13,14,17,25,27,31,48,32,26,25,16,285
438,"Semiconductor Device Manufacturing: Process",12,9,13,12,23,33,29,37,30,32,22,13,265
365,"Static Information Storage and Retrieval",6,9,10,10,18,23,20,20,14,11,4,3,148
359,"Optical: Systems and Elements",1,0,0,1,3,21,24,23,13,10,7,3,106
106,"Compositions:  Coating or Plastic",8,7,5,7,7,1,8,5,8,6,12,5,79
345,"Computer Graphics Processing and Selective Visual Display Systems",1,4,2,5,4,3,12,7,9,5,13,2,67
353,"Optics:  Image Projectors",0,0,0,0,2,4,18,13,12,12,3,1,65
348,"Television",0,0,2,0,3,2,5,5,7,5,14,9,52
429,"Chemistry:  Electrical Current Producing Apparatus, Product, and Process",0,0,0,3,5,6,14,5,3,3,0,3,42
029,"Metal Working",0,0,1,3,5,5,6,4,2,7,3,2,38
216,"Etching a Substrate:  Processes",1,0,4,3,10,4,3,5,3,2,3,0,38
428,"Stock Material or Miscellaneous Articles",2,1,1,2,5,4,2,4,3,5,4,5,38
424,"Drug, Bio-Affecting and Body Treating Compositions (includes Class 514)",4,1,3,0,6,2,3,2,1,3,4,8,37
361,"Electricity:  Electrical Systems and Devices",5,4,4,9,6,3,2,1,2,0,0,0,36
430,"Radiation Imagery Chemistry: Process, Composition, or Product Thereof",2,3,3,1,0,3,3,4,5,7,2,3,36
520,"Synthetic Resins or Natural Rubbers (includes Classes 520-528)",2,7,2,0,0,2,1,3,7,0,6,3,33
326,"Electronic Digital Logic Circuitry",1,1,7,6,2,5,1,4,0,2,1,0,30
358,"Facsimile and Static Presentation Processing",0,0,1,0,1,4,9,2,1,1,2,7,28
327,"Miscellaneous Active Electrical Nonlinear Devices, Circuits, and Systems",2,5,3,5,1,3,2,1,0,1,1,2,26
463,"Amusement Devices: Games",1,6,5,2,3,1,0,0,1,1,4,0,24
385,"Optical Waveguides",0,1,0,1,1,3,2,2,6,5,1,1,23
532,"Organic Compounds (includes Classes 532-570)",0,1,1,1,1,3,2,0,0,1,4,9,23
313,"Electric Lamp and Discharge Devices",1,1,1,1,1,2,4,3,4,2,2,0,22
073,"Measuring and Testing",0,0,0,2,4,3,3,3,2,2,1,0,20
709,"Multicomputer Data Transferring (Electrical Computers and Digital Processing Systems)",0,0,0,0,0,0,6,0,0,3,6,5,20
427,"Coating Processes",1,1,0,0,1,2,1,0,3,3,5,2,19
435,"Chemistry: Molecular Biology and Microbiology",1,2,3,1,2,1,3,2,0,1,0,3,19
715,"DP: Presentation Processing of Document, Operator Interface Processing, and Screen Saver Display Processing (Data Processing)",1,0,0,2,3,2,4,3,2,0,2,0,19
330,"Amplifiers",1,0,6,0,0,0,0,4,4,2,1,0,18
362,"Illumination",1,0,0,0,0,0,8,4,4,1,0,0,18
264,"Plastic and Nonmetallic Article Shaping or Treating: Processes",1,0,0,0,0,0,0,2,6,3,5,0,17
340,"Communications:  Electrical",0,0,1,1,1,0,4,2,2,2,0,4,17
369,"Dynamic Information Storage or Retrieval",0,0,0,0,1,0,1,5,3,2,4,1,17
713,"Support (Electrical Computers and Digital Processing Systems)",0,0,1,1,1,2,1,3,3,2,3,0,17
382,"Image Analysis",0,0,1,0,1,2,1,1,3,0,4,3,16
128,"Surgery (includes Class 600)",0,0,0,2,3,1,1,3,1,2,0,0,13
235,"Registers (e.g., cash registers, calculators, devices for counting movements of devices, etc.)",0,1,2,2,2,1,1,1,0,1,1,1,13
156,"Adhesive Bonding and Miscellaneous Chemical Manufacture",1,0,0,0,1,1,3,2,1,0,1,2,12
210,"Liquid Purification or Separation",0,0,0,1,1,3,2,2,1,0,1,1,12
445,"Electric Lamp or Space Discharge Component or Device Manufacturing",0,0,0,2,4,1,3,0,1,0,1,0,12
707,"DP: Database and File Management or Data Structures (Data Processing)",0,0,0,1,1,1,0,0,0,1,4,4,12
250,"Radiant Energy",0,0,1,0,1,0,2,1,3,1,1,1,11
324,"Electricity:  Measuring and Testing",0,0,0,0,0,1,3,1,1,1,2,2,11
356,"Optics:  Measuring and Testing",0,0,0,1,1,0,2,3,2,1,1,0,11
455,"Telecommunications",1,2,0,1,0,1,2,1,0,0,1,2,11
219,"Electric Heating",0,1,1,1,1,2,0,0,0,0,2,2,10
370,"Multiplex Communications",0,0,1,0,0,0,0,1,0,1,4,3,10
070,"Locks",1,0,1,4,1,1,0,0,0,0,1,0,9
331,"Oscillators",2,1,0,2,1,0,1,1,0,1,0,0,9
700,"DP: Generic Control Systems or Specific Applications (Data Processing)",0,0,0,0,0,2,2,1,3,0,0,1,9
400,"Typewriting Machines",0,0,0,2,2,0,0,0,0,0,1,3,8
426,"Food or Edible Material:  Processes, Compositions, and Products",0,3,0,2,2,0,0,1,0,0,0,0,8
503,"Record Receiver Having Plural Interactive Leaves or a Colorless Color Former, Method of Use, or Developer Therefor",1,0,0,0,0,0,3,1,2,0,1,0,8
702,"DP: Measuring, Calibrating, or Testing (Data Processing)",0,0,1,1,2,1,0,1,0,1,1,0,8
206,"Special Receptacle or Package",0,1,0,2,1,0,0,0,1,2,0,0,7
310,"Electrical Generator or Motor Structure",1,0,0,0,0,1,2,1,1,0,1,0,7
439,"Electrical Connectors",0,0,0,3,2,0,0,0,1,1,0,0,7
705,"DP: Financial, Business Practice, Management, or Cost/Price Determination (Data Processing)",0,0,0,0,3,1,0,0,1,1,1,0,7
706,"DP: Artificial Intelligence (Data Processing)",0,0,0,1,0,0,0,0,1,1,2,2,7
099,"Foods and Beverages: Apparatus",1,1,1,0,1,1,1,0,0,0,0,0,6
222,"Dispensing (apparatus and process)",0,0,1,0,1,1,0,0,0,0,0,3,6
349,"Liquid Crystal Cells, Elements and Systems",0,0,0,0,0,0,0,1,2,1,1,1,6
422,"Chemical Apparatus and Process Disinfecting, Deodorizing, Preserving, or Sterilizing",0,0,0,0,2,0,0,2,1,1,0,0,6
451,"Abrading",0,2,2,2,0,0,0,0,0,0,0,0,6
530,"Chemistry:  Natural Resins or Derivatives; Peptides or Proteins; Lignins or Reaction Products Thereof",0,0,0,0,0,1,2,0,2,0,0,1,6
800,"Multicellular Living Organisms and Unmodified Parts Thereof and Related Processes",0,0,1,2,1,0,1,0,0,0,1,0,6
095,"Gas Separation:  Processes",0,0,1,1,0,0,1,0,2,0,0,0,5
123,"Internal-Combustion Engines",0,0,0,0,4,1,0,0,0,0,0,0,5
248,"Supports (e.g., for holding articles, etc.)",1,0,0,0,0,0,2,0,1,0,1,0,5
341,"Coded Data Generation or Conversion",0,1,0,1,1,1,0,0,1,0,0,0,5
375,"Pulse or Digital Communications",0,0,1,0,0,1,0,1,1,0,0,1,5
380,"Cryptography",0,0,0,0,0,0,2,2,1,0,0,0,5
396,"Photography",0,0,0,1,1,0,0,1,0,1,1,0,5
425,"Plastic Article or Earthenware Shaping or Treating: Apparatus",0,0,0,0,0,0,0,1,1,0,2,1,5
436,"Chemistry: Analytical and Immunological Testing",0,0,0,0,0,0,0,0,1,0,3,1,5
